COD_ZONA,EMPREGO_EXTERNO_INTERNO,QTD
1,Trabalho Externo(*),3191.8234481203367
1,Trabalho Interno,68660.49008369098
2,Trabalho Externo(*),7068.8835140196
2,Trabalho Interno,44784.85379733129
3,Trabalho Externo(*),1409.3435621749632
3,Trabalho Interno,17138.00327132776
4,Trabalho Externo(*),2834.8684499845026
4,Trabalho Interno,19719.07215363466
5,Trabalho Externo(*),6692.776169835126
5,Trabalho Interno,82793.87932487526
6,Trabalho Externo(*),4982.908024280242
6,Trabalho Interno,33389.01424788236
7,Trabalho Externo(*),2563.4356298269267
7,Trabalho Interno,32484.475330205227
8,Trabalho Externo(*),642.2596528028001
8,Trabalho Interno,14437.897536648028
9,Trabalho Externo(*),4012.0130176097255
9,Trabalho Interno,12480.368585112288
10,Trabalho Externo(*),1002.4628813359881
10,Trabalho Interno,5710.301965973412
11,Trabalho Externo(*),1546.6718252903231
11,Trabalho Interno,2354.7387533065385
12,Trabalho Externo(*),2078.727524125892
12,Trabalho Interno,18989.231848198746
13,Trabalho Externo(*),271.695538168957
13,Trabalho Interno,9009.68314660329
14,Trabalho Externo(*),2688.640348037052
14,Trabalho Interno,25250.023441552956
15,Trabalho Externo(*),1641.9652414390216
15,Trabalho Interno,12529.38000816488
16,Trabalho Externo(*),2810.0054337625907
16,Trabalho Interno,15674.302427605837
17,Trabalho Externo(*),1427.2245087272295
17,Trabalho Interno,7933.591697930353
18,Trabalho Externo(*),1685.536381145725
18,Trabalho Interno,22403.987816453726
19,Trabalho Externo(*),2509.5657188232194
19,Trabalho Interno,13938.299429042438
20,Trabalho Externo(*),977.3409344023833
20,Trabalho Interno,7181.583144578965
21,Trabalho Externo(*),1428.0449090352822
21,Trabalho Interno,8257.001000225542
22,Trabalho Externo(*),1755.5763798080357
22,Trabalho Interno,6669.1296973967
23,Trabalho Externo(*),2147.966019764147
23,Trabalho Interno,15766.68384628437
24,Trabalho Externo(*),1184.3918129784379
24,Trabalho Interno,16811.658153532757
25,Trabalho Externo(*),1966.395738047496
25,Trabalho Interno,10175.497030878734
26,Trabalho Externo(*),1333.1562100993924
26,Trabalho Interno,12087.290060820735
27,Trabalho Externo(*),2580.3305026272874
27,Trabalho Interno,42274.891364206895
28,Trabalho Externo(*),2439.808114979176
28,Trabalho Interno,25992.69373643791
29,Trabalho Externo(*),2539.2275192477045
29,Trabalho Interno,42871.55003236986
30,Trabalho Externo(*),1049.3476899501431
30,Trabalho Interno,17533.468959183803
31,Trabalho Externo(*),2596.114667883307
31,Trabalho Interno,24506.15657607565
32,Trabalho Externo(*),3179.9328566849554
32,Trabalho Interno,45056.889378389096
33,Trabalho Externo(*),149.18842972019104
33,Trabalho Interno,2977.2676611304946
34,Trabalho Externo(*),102.1727024124517
34,Trabalho Interno,9862.693198446825
35,Trabalho Externo(*),3678.6310608096333
35,Trabalho Interno,32114.811076924136
36,Trabalho Externo(*),2514.1784588103424
36,Trabalho Interno,30619.16097415768
37,Trabalho Externo(*),1287.3534920962409
37,Trabalho Interno,17732.26979742275
38,Trabalho Externo(*),1138.2197584456553
38,Trabalho Interno,3991.826929595821
39,Trabalho Externo(*),924.8029768668213
39,Trabalho Interno,8026.706315891242
40,Trabalho Externo(*),1488.539970657084
40,Trabalho Interno,16165.944221660191
41,Trabalho Externo(*),1628.8319045498347
41,Trabalho Interno,22779.596443188675
42,Trabalho Externo(*),943.3052347303023
42,Trabalho Interno,7801.262398762841
43,Trabalho Externo(*),2444.362575252131
43,Trabalho Interno,21247.594378712336
44,Trabalho Externo(*),606.2648623875682
44,Trabalho Interno,17436.127699331362
45,Trabalho Externo(*),2829.571537556675
45,Trabalho Interno,30652.191777418648
46,Trabalho Externo(*),2795.1141378535976
46,Trabalho Interno,13786.798723813106
47,Trabalho Externo(*),1707.879075758867
47,Trabalho Interno,10268.690458861685
48,Trabalho Externo(*),1792.1537904473203
48,Trabalho Interno,13075.082888006917
49,Trabalho Externo(*),634.1986129610231
49,Trabalho Interno,19374.953204970145
50,Trabalho Externo(*),134.81166587930124
50,Trabalho Interno,1710.3386886796848
51,Trabalho Externo(*),1412.29377435316
51,Trabalho Interno,5752.782137742546
52,Trabalho Externo(*),742.8626110110305
52,Trabalho Interno,13993.336768069576
53,Trabalho Externo(*),785.8551932219176
53,Trabalho Interno,22265.980363462862
54,Trabalho Externo(*),2228.7959840483704
54,Trabalho Interno,27495.705545797133
55,Trabalho Externo(*),1860.8719639365231
55,Trabalho Interno,13816.6992568505
56,Trabalho Externo(*),1448.741736634111
56,Trabalho Interno,20693.95901116885
57,Trabalho Externo(*),3187.9967188358214
57,Trabalho Interno,41957.37900491486
58,Trabalho Externo(*),2684.211628362513
58,Trabalho Interno,13743.571251813262
59,Trabalho Externo(*),4769.6672576783685
59,Trabalho Interno,26881.537723763653
60,Trabalho Externo(*),1714.514395961384
60,Trabalho Interno,13673.326098758924
61,Trabalho Externo(*),1144.5569272343978
61,Trabalho Interno,17590.102480188325
62,Trabalho Externo(*),1642.1713782837849
62,Trabalho Interno,18352.385795987866
63,Trabalho Externo(*),759.5228647758137
63,Trabalho Interno,11890.298706814763
64,Trabalho Externo(*),3195.3650764648924
64,Trabalho Interno,38076.42678180635
65,Trabalho Externo(*),2171.200439697481
65,Trabalho Interno,15384.521591230174
66,Trabalho Externo(*),971.1980791030629
66,Trabalho Interno,21556.1542560165
67,Trabalho Externo(*),482.57402471428554
67,Trabalho Interno,8282.323329840994
68,Trabalho Externo(*),4752.7087255954675
68,Trabalho Interno,68812.82871995875
69,Trabalho Externo(*),1294.275582136659
69,Trabalho Interno,22168.37433634823
70,Trabalho Externo(*),1802.200541974068
70,Trabalho Interno,18521.777610200246
71,Trabalho Externo(*),1359.4594492967528
71,Trabalho Interno,19256.016223351086
72,Trabalho Externo(*),1506.5516071713764
72,Trabalho Interno,22943.02700243535
73,Trabalho Externo(*),6885.937279831506
73,Trabalho Interno,90846.65012432085
74,Trabalho Externo(*),1944.2836570091185
74,Trabalho Interno,34289.15778476374
75,Trabalho Externo(*),1091.9201462753044
75,Trabalho Interno,11472.268348432517
76,Trabalho Externo(*),2414.365611021792
76,Trabalho Interno,21264.264940950874
77,Trabalho Externo(*),1012.7795626656823
77,Trabalho Interno,37937.45665894678
78,Trabalho Externo(*),2914.039350690858
78,Trabalho Interno,22017.993830238
79,Trabalho Externo(*),2000.7396543577288
79,Trabalho Interno,44193.36111333204
80,Trabalho Externo(*),2096.7322915879245
80,Trabalho Interno,25455.885076698945
81,Trabalho Externo(*),2777.4060464514605
81,Trabalho Interno,38863.4471040899
82,Trabalho Externo(*),4689.803443514119
82,Trabalho Interno,70384.01647449465
83,Trabalho Externo(*),2242.7582334574713
83,Trabalho Interno,25557.76787564356
84,Trabalho Externo(*),564.2486601829899
84,Trabalho Interno,12198.762881942535
85,Trabalho Externo(*),140.64358875793675
85,Trabalho Interno,3118.5019046731118
86,Trabalho Externo(*),191.64219125915713
86,Trabalho Interno,3711.3779432068336
87,Trabalho Externo(*),344.86341987765684
87,Trabalho Interno,10499.159684160417
88,Trabalho Externo(*),2949.85560131582
88,Trabalho Interno,21163.031105702587
89,Trabalho Externo(*),310.31439067857167
89,Trabalho Interno,5132.087446924537
90,Trabalho Externo(*),975.3568390358139
90,Trabalho Interno,8765.731171835332
91,Trabalho Externo(*),1841.3156515934593
91,Trabalho Interno,22554.812044468843
92,Trabalho Externo(*),1050.767494185047
92,Trabalho Interno,11874.0226108587
93,Trabalho Externo(*),3783.386991183613
93,Trabalho Interno,26711.373930870068
