COD_ZONA,ENDERECO_EMPREGOS,QTD
1,Empregos em Endereço Fixo(*),71721.16217837745
1,Empregos na Própria Residência,18.721070042553198
1,Empregos Sem Endereço Fixo(**),112.4302833913375
2,Empregos em Endereço Fixo(*),47979.27556104105
2,Empregos na Própria Residência,859.9363895963578
2,Empregos Sem Endereço Fixo(**),3014.5253607134855
3,Empregos em Endereço Fixo(*),17091.928488730795
3,Empregos na Própria Residência,413.2749716052624
3,Empregos Sem Endereço Fixo(**),1042.1433731666652
4,Empregos em Endereço Fixo(*),18302.67328346109
4,Empregos na Própria Residência,2718.395775661091
4,Empregos Sem Endereço Fixo(**),1532.8715444969891
5,Empregos em Endereço Fixo(*),87292.49969185374
5,Empregos na Própria Residência,300.9146555384617
5,Empregos Sem Endereço Fixo(**),1893.2411473181824
6,Empregos em Endereço Fixo(*),35889.25909461862
6,Empregos na Própria Residência,1261.9219832052079
6,Empregos Sem Endereço Fixo(**),1220.741194338762
7,Empregos em Endereço Fixo(*),33071.86365430224
7,Empregos na Própria Residência,1527.9580843555561
7,Empregos Sem Endereço Fixo(**),448.08922137435917
8,Empregos em Endereço Fixo(*),14352.453866301594
8,Empregos na Própria Residência,360.82110333726945
8,Empregos Sem Endereço Fixo(**),366.88221981196574
9,Empregos em Endereço Fixo(*),15766.051006243131
9,Empregos na Própria Residência,586.6364742888516
9,Empregos Sem Endereço Fixo(**),139.69412219003382
10,Empregos em Endereço Fixo(*),6525.878869990272
10,Empregos na Própria Residência,83.4480924828469
10,Empregos Sem Endereço Fixo(**),103.43788483628195
11,Empregos em Endereço Fixo(*),3363.4286039018466
11,Empregos na Própria Residência,376.93546204301066
11,Empregos Sem Endereço Fixo(**),161.04651265200388
12,Empregos em Endereço Fixo(*),19708.010834470213
12,Empregos na Própria Residência,1117.2395026238414
12,Empregos Sem Endereço Fixo(**),242.70903523058826
13,Empregos em Endereço Fixo(*),9041.07371788082
13,Empregos na Própria Residência,174.1286522774028
13,Empregos Sem Endereço Fixo(**),66.17631461402603
14,Empregos em Endereço Fixo(*),27713.85495303298
14,Empregos na Própria Residência,14.27215305882353
14,Empregos Sem Endereço Fixo(**),210.5366834982006
15,Empregos em Endereço Fixo(*),12969.966440293887
15,Empregos na Própria Residência,609.5988878152999
15,Empregos Sem Endereço Fixo(**),591.7799214947131
16,Empregos em Endereço Fixo(*),17544.63913074068
16,Empregos na Própria Residência,881.302998920432
16,Empregos Sem Endereço Fixo(**),58.365731707317096
17,Empregos em Endereço Fixo(*),8475.705845208025
17,Empregos na Própria Residência,357.42854486699537
17,Empregos Sem Endereço Fixo(**),527.6818165825608
18,Empregos em Endereço Fixo(*),22613.431657890116
18,Empregos na Própria Residência,844.5756141024083
18,Empregos Sem Endereço Fixo(**),631.5169256069285
19,Empregos em Endereço Fixo(*),13583.37158149258
19,Empregos na Própria Residência,1943.3169598167938
19,Empregos Sem Endereço Fixo(**),921.176606556279
20,Empregos em Endereço Fixo(*),4468.777358899734
20,Empregos na Própria Residência,1683.1766022464622
20,Empregos Sem Endereço Fixo(**),2006.970117835154
21,Empregos em Endereço Fixo(*),6854.265106578995
21,Empregos na Própria Residência,1932.0350453197993
21,Empregos Sem Endereço Fixo(**),898.7457573620358
22,Empregos em Endereço Fixo(*),7098.106944130835
22,Empregos na Própria Residência,708.7762825500002
22,Empregos Sem Endereço Fixo(**),617.8228505239011
23,Empregos em Endereço Fixo(*),17578.401305221512
23,Empregos na Própria Residência,183.57273522362857
23,Empregos Sem Endereço Fixo(**),152.67582560337542
24,Empregos em Endereço Fixo(*),17419.382775539918
24,Empregos na Própria Residência,416.9196996308511
24,Empregos Sem Endereço Fixo(**),159.74749134042554
25,Empregos em Endereço Fixo(*),9809.100822017395
25,Empregos na Própria Residência,1612.6026299551195
25,Empregos Sem Endereço Fixo(**),720.1893169537165
26,Empregos em Endereço Fixo(*),11831.477661930077
26,Empregos na Própria Residência,940.1418935785598
26,Empregos Sem Endereço Fixo(**),648.8267154114887
27,Empregos em Endereço Fixo(*),42853.755228321505
27,Empregos na Própria Residência,701.8136280852805
27,Empregos Sem Endereço Fixo(**),1299.6530104273984
28,Empregos em Endereço Fixo(*),25584.38491304223
28,Empregos na Própria Residência,791.9598590250005
28,Empregos Sem Endereço Fixo(**),2056.1570793498486
29,Empregos em Endereço Fixo(*),43537.51427250796
29,Empregos na Própria Residência,1137.0510574342964
29,Empregos Sem Endereço Fixo(**),736.2122216752971
30,Empregos em Endereço Fixo(*),15627.257014745795
30,Empregos na Própria Residência,2312.9163512171012
30,Empregos Sem Endereço Fixo(**),642.6432831710507
31,Empregos em Endereço Fixo(*),24540.876915514353
31,Empregos na Própria Residência,1712.751361925124
31,Empregos Sem Endereço Fixo(**),848.64296651948
32,Empregos em Endereço Fixo(*),47206.2649090282
32,Empregos na Própria Residência,790.7537377578883
32,Empregos Sem Endereço Fixo(**),239.80358828796824
33,Empregos em Endereço Fixo(*),2807.973573269126
33,Empregos na Própria Residência,272.41462312962875
33,Empregos Sem Endereço Fixo(**),46.06789445193061
34,Empregos em Endereço Fixo(*),8777.398604750324
34,Empregos na Própria Residência,894.4867771984467
34,Empregos Sem Endereço Fixo(**),292.98051891050676
35,Empregos em Endereço Fixo(*),31335.054141358716
35,Empregos na Própria Residência,1775.570728954761
35,Empregos Sem Endereço Fixo(**),2682.817267420282
36,Empregos em Endereço Fixo(*),26721.51755034261
36,Empregos na Própria Residência,4384.992477613806
36,Empregos Sem Endereço Fixo(**),2026.829405011597
37,Empregos em Endereço Fixo(*),18412.96126134664
37,Empregos na Própria Residência,469.08113170400424
37,Empregos Sem Endereço Fixo(**),137.58089646834406
38,Empregos em Endereço Fixo(*),4175.89812093354
38,Empregos na Própria Residência,269.63770307142846
38,Empregos Sem Endereço Fixo(**),684.5108640365073
39,Empregos em Endereço Fixo(*),8024.512231515744
39,Empregos na Própria Residência,206.17901505882327
39,Empregos Sem Endereço Fixo(**),720.8180461834982
40,Empregos em Endereço Fixo(*),16674.631830615657
40,Empregos na Própria Residência,500.1838642613633
40,Empregos Sem Endereço Fixo(**),479.66849744025944
41,Empregos em Endereço Fixo(*),22856.35049704298
41,Empregos na Própria Residência,834.5775938511689
41,Empregos Sem Endereço Fixo(**),717.5002568443663
42,Empregos em Endereço Fixo(*),8136.736127189875
42,Empregos na Própria Residência,462.6910298065359
42,Empregos Sem Endereço Fixo(**),145.14047649673205
43,Empregos em Endereço Fixo(*),19855.346101176852
43,Empregos na Própria Residência,2179.7289265181535
43,Empregos Sem Endereço Fixo(**),1656.8819262694547
44,Empregos em Endereço Fixo(*),16470.56021384799
44,Empregos na Própria Residência,824.9351308280818
44,Empregos Sem Endereço Fixo(**),746.8972170428567
45,Empregos em Endereço Fixo(*),31717.15795142711
45,Empregos na Própria Residência,1259.7532368108891
45,Empregos Sem Endereço Fixo(**),504.85212673732224
46,Empregos em Endereço Fixo(*),11963.174133592245
46,Empregos na Própria Residência,2700.427807394266
46,Empregos Sem Endereço Fixo(**),1918.3109206801932
47,Empregos em Endereço Fixo(*),8865.12146626001
47,Empregos na Própria Residência,1976.8940624134448
47,Empregos Sem Endereço Fixo(**),1134.5540059470995
48,Empregos em Endereço Fixo(*),12178.600016697139
48,Empregos na Própria Residência,788.9564913684209
48,Empregos Sem Endereço Fixo(**),1899.6801703886758
49,Empregos em Endereço Fixo(*),18026.760294554082
49,Empregos na Própria Residência,1369.975990854727
49,Empregos Sem Endereço Fixo(**),612.4155325223579
50,Empregos em Endereço Fixo(*),1078.3043922982317
50,Empregos na Própria Residência,605.5347651854852
50,Empregos Sem Endereço Fixo(**),161.31119707526915
51,Empregos em Endereço Fixo(*),5406.825542571095
51,Empregos na Própria Residência,1340.8967422515698
51,Empregos Sem Endereço Fixo(**),417.3536272730421
52,Empregos em Endereço Fixo(*),12779.93419605582
52,Empregos na Própria Residência,1561.5536924094022
52,Empregos Sem Endereço Fixo(**),394.7114906153842
53,Empregos em Endereço Fixo(*),21838.585866204005
53,Empregos na Própria Residência,705.2572307104147
53,Empregos Sem Endereço Fixo(**),507.99245977036577
54,Empregos em Endereço Fixo(*),29045.41089160156
54,Empregos na Própria Residência,492.8591216123635
54,Empregos Sem Endereço Fixo(**),186.2315166315785
55,Empregos em Endereço Fixo(*),12402.278858199112
55,Empregos na Própria Residência,1506.3441282653328
55,Empregos Sem Endereço Fixo(**),1768.9482343225832
56,Empregos em Endereço Fixo(*),19451.0946221534
56,Empregos na Própria Residência,2560.9959414615373
56,Empregos Sem Endereço Fixo(**),130.6101841880339
57,Empregos em Endereço Fixo(*),42151.72143859602
57,Empregos na Própria Residência,1471.8184616850915
57,Empregos Sem Endereço Fixo(**),1521.8358234695727
