COD_ZONA,EMPREGOS_POR_CLASSE_ATIVIDADE,QTD
1,Agrícola,0
1,Construção Civil,335.018838663947
1,Indústria,690.457800026215
1,Comércio,6878.45017569205
1,Transporte de Carga,52.6459974710277
1,Transporte de Passageiros,4524.97874352746
1,Creditícios Financeiro,10069.3037334469
1,Pessoais,425.637682966667
1,Alimentação,2243.78624049862
1,Saúde,1819.0092678593
1,Educação,1483.72145861061
1,Especializado,16947.0250773389
1,Administração Pública,11907.4682857063
1,Outros,14474.8102300033
2,Agrícola,0
2,Construção Civil,276.182338543363
2,Indústria,2138.84813929572
2,Comércio,25256.5660790828
2,Transporte de Carga,807.190464152581
2,Transporte de Passageiros,1993.61064760356
2,Creditícios Financeiro,1142.01007785446
2,Pessoais,518.854764960143
2,Alimentação,761.345200483702
2,Saúde,1496.81868289306
2,Educação,507.813480276071
2,Especializado,4773.69307432039
2,Administração Pública,4330.18044758054
2,Outros,7850.62391430452
3,Agrícola,0
3,Construção Civil,852.226508190664
3,Indústria,0
3,Comércio,2923.18140573223
3,Transporte de Carga,0
3,Transporte de Passageiros,891.37220864354
3,Creditícios Financeiro,563.514495212851
3,Pessoais,193.46247010929
3,Alimentação,649.85663203143
3,Saúde,731.799580580308
3,Educação,614.398321144955
3,Especializado,1956.84512216965
3,Administração Pública,6425.27013824814
3,Outros,2745.41995143967
4,Agrícola,148.385239067232
4,Construção Civil,610.306133246816
4,Indústria,812.230681415924
4,Comércio,1646.81683665597
4,Transporte de Carga,79.6218516129032
4,Transporte de Passageiros,593.189053029882
4,Creditícios Financeiro,1291.9109146359
4,Pessoais,645.9762385857
4,Alimentação,1633.99676817647
4,Saúde,0
4,Educação,746.749449601973
4,Especializado,3903.45133967815
4,Administração Pública,3396.76761060573
4,Outros,7044.5384873065
5,Agrícola,0
5,Construção Civil,933.622563010349
5,Indústria,847.218107352333
5,Comércio,15223.9286524497
5,Transporte de Carga,497.680802185534
5,Transporte de Passageiros,79.9838532972974
5,Creditícios Financeiro,11942.6929947469
5,Pessoais,1607.59556402129
5,Alimentação,4227.97651353632
5,Saúde,2636.56166262427
5,Educação,942.32316575448
5,Especializado,18475.4522728705
5,Administração Pública,6769.53692408715
5,Outros,25302.0824187742
6,Agrícola,0
6,Construção Civil,626.034894241596
6,Indústria,1159.74865818855
6,Comércio,13498.2560123661
6,Transporte de Carga,0
6,Transporte de Passageiros,1320.25118751407
6,Creditícios Financeiro,1449.5005799333
6,Pessoais,0
6,Alimentação,1946.24321794496
6,Saúde,0
6,Educação,1223.80096477272
6,Especializado,3303.10412330968
6,Administração Pública,3923.43190827188
6,Outros,9921.55072561978
7,Agrícola,0
7,Construção Civil,473.997737960531
7,Indústria,5097.34481919762
7,Comércio,15450.4708213494
7,Transporte de Carga,22.5803142600001
7,Transporte de Passageiros,1124.18343817263
7,Creditícios Financeiro,859.698672027259
7,Pessoais,426.937687129604
7,Alimentação,2230.24995803827
7,Saúde,739.886439406079
7,Educação,1607.71612932318
7,Especializado,1288.39784353836
7,Administração Pública,2239.82833207897
7,Outros,3486.61876755021
8,Agrícola,0
8,Construção Civil,0
8,Indústria,3955.74303566017
8,Comércio,1453.10052675123
8,Transporte de Carga,1852.27377657143
8,Transporte de Passageiros,0
8,Creditícios Financeiro,0
8,Pessoais,63.9446593751073
8,Alimentação,392.713180746665
8,Saúde,307.085631380952
8,Educação,1517.68067322155
8,Especializado,52.4965221010881
8,Administração Pública,88.4974183846154
8,Outros,5396.62176525803
9,Agrícola,0
9,Construção Civil,255.672464516701
9,Indústria,2983.23260932384
9,Comércio,1707.12264722589
9,Transporte de Carga,327.554497694315
9,Transporte de Passageiros,210.444885517662
9,Creditícios Financeiro,902.548143769923
9,Pessoais,0
9,Alimentação,385.028704570578
9,Saúde,297.20653831579
9,Educação,900.062663606943
9,Especializado,651.130930757916
9,Administração Pública,2976.12624756918
9,Outros,4896.25126985328
10,Agrícola,0
10,Construção Civil,54.7308372210084
10,Indústria,1357.95171014254
10,Comércio,1790.08536382995
10,Transporte de Carga,10.8163548311688
10,Transporte de Passageiros,7.48010955294119
10,Creditícios Financeiro,55.5123854551451
10,Pessoais,8.8764615
10,Alimentação,67.0129200744039
10,Saúde,18.6365628928571
10,Educação,363.490923213052
10,Especializado,815.147542539473
10,Administração Pública,683.830962581668
10,Outros,1479.1927134752
11,Agrícola,0
11,Construção Civil,0
11,Indústria,1595.98178133333
11,Comércio,1139.02836912186
11,Transporte de Carga,344.358597812345
11,Transporte de Passageiros,36.186372
11,Creditícios Financeiro,0
11,Pessoais,59.3558120322581
11,Alimentação,0
11,Saúde,0
11,Educação,0
11,Especializado,285.681064992373
11,Administração Pública,0
11,Outros,440.818581304688
12,Agrícola,0
12,Construção Civil,7.48010955294119
12,Indústria,3135.40085169088
12,Comércio,10794.4563414825
12,Transporte de Carga,1148.49012356761
12,Transporte de Passageiros,28.1155092580645
12,Creditícios Financeiro,0
12,Pessoais,7.48010955294119
12,Alimentação,1760.21786979732
12,Saúde,1450.26660449346
12,Educação,304.933761123423
12,Especializado,310.617172394327
12,Administração Pública,55.9535466666666
12,Outros,2064.54737274446
13,Agrícola,0
13,Construção Civil,524.343713594202
13,Indústria,1117.32528961902
13,Comércio,6930.09455939397
13,Transporte de Carga,0
13,Transporte de Passageiros,0
13,Creditícios Financeiro,0
13,Pessoais,10.8163548311688
13,Alimentação,69.0407880461802
13,Saúde,0
13,Educação,10.697338987013
13,Especializado,0
13,Administração Pública,0
13,Outros,619.060640300692
14,Agrícola,0
14,Construção Civil,322.442736459679
14,Indústria,6908.6300209109
14,Comércio,15585.6989055953
14,Transporte de Carga,236.581508465117
14,Transporte de Passageiros,47.3604911233397
14,Creditícios Financeiro,825.750297947338
14,Pessoais,0
14,Alimentação,844.529170295465
14,Saúde,824.624655979549
14,Educação,0
14,Especializado,548.9079649375
14,Administração Pública,16.0824338311688
14,Outros,1778.05560404464
15,Agrícola,0
15,Construção Civil,309.748035802423
15,Indústria,3491.95925725053
15,Comércio,2953.66893058797
15,Transporte de Carga,0
15,Transporte de Passageiros,3812.64621315304
15,Creditícios Financeiro,73.3558676057692
15,Pessoais,17.3736393300493
15,Alimentação,59.8571036585366
15,Saúde,657.400339835144
15,Educação,0
15,Especializado,347.557819311956
15,Administração Pública,0
15,Outros,2447.77804306848
16,Agrícola,0
16,Construção Civil,184.530597916684
16,Indústria,1749.20426416684
16,Comércio,3150.58299076738
16,Transporte de Carga,159.426486854996
16,Transporte de Passageiros,58.3657317073171
16,Creditícios Financeiro,1763.6181854723
16,Pessoais,59.8571036585366
16,Alimentação,1399.59294493054
16,Saúde,0
16,Educação,734.537433075527
16,Especializado,933.335727967376
16,Administração Pública,2582.3983906185
16,Outros,5708.85800423242
17,Agrícola,0
17,Construção Civil,0
17,Indústria,131.250082874529
17,Comércio,6200.89260068816
17,Transporte de Carga,0
17,Transporte de Passageiros,38.7264852019706
17,Creditícios Financeiro,0
17,Pessoais,164.570753615317
17,Alimentação,536.589616148219
17,Saúde,30.5444797855866
17,Educação,527.779258038806
17,Especializado,123.390240777489
17,Administração Pública,0
17,Outros,1607.07268952751
18,Agrícola,0
18,Construção Civil,807.388140377101
18,Indústria,6950.22592424636
18,Comércio,4420.92915540339
18,Transporte de Carga,156.729995186465
18,Transporte de Passageiros,46.1895131010101
18,Creditícios Financeiro,2006.05614565617
18,Pessoais,0
18,Alimentação,719.010338477368
18,Saúde,1230.47782560058
18,Educação,794.007644000691
18,Especializado,1413.56280948033
18,Administração Pública,1474.18137696939
18,Outros,4070.76532910059
19,Agrícola,0
19,Construção Civil,0
19,Indústria,578.303189865649
19,Comércio,4299.08555370425
19,Transporte de Carga,0
19,Transporte de Passageiros,183.309756486065
19,Creditícios Financeiro,401.359117121212
19,Pessoais,799.879873582181
19,Alimentação,935.601300039289
19,Saúde,2083.89902286878
19,Educação,1429.52378910634
