COD_ZONA,EMPREGO_POR_SETOR_ATIVIDADE,QTD
1,Secundário,1025.4766386901622
1,Terciário,70826.83689312116
1,Outros,0
2,Secundário,2415.0304778390782
2,Terciário,49438.706833511824
2,Outros,0
3,Secundário,852.2265081906643
3,Terciário,17695.12032531207
3,Outros,0
4,Secundário,1422.5368146627407
4,Terciário,20983.01854988919
4,Outros,148.38523906723205
5,Secundário,1780.840670362682
5,Terciário,87705.8148243477
5,Outros,0
6,Secundário,1785.7835524301502
6,Terciário,36586.13871973246
6,Outros,0
7,Secundário,5571.342557158149
7,Terciário,29476.568402873996
7,Outros,0
8,Secundário,3955.7430356601712
8,Terciário,11124.41415379066
8,Outros,0
9,Secundário,3238.9050738405394
9,Terciário,13253.476528881476
9,Outros,0
10,Secundário,1412.6825473635477
10,Terciário,5300.082299945853
10,Outros,0
11,Secundário,1595.9817813333339
11,Terciário,2305.4287972635275
11,Outros,0
12,Secundário,3142.8809612438217
12,Terciário,17925.078411080816
12,Outros,0
13,Secundário,1641.6690032132274
13,Terciário,7639.709681559022
13,Outros,0
14,Secundário,7231.072757370577
14,Terciário,20707.59103221942
14,Outros,0
15,Secundário,3801.7072930529584
15,Terciário,10369.637956550938
15,Outros,0
16,Secundário,1933.7348620835282
16,Terciário,16550.5729992849
16,Outros,0
17,Secundário,131.2500828745294
17,Terciário,9229.566123783054
17,Outros,0
18,Secundário,7757.614064623462
18,Terciário,16331.91013297599
18,Outros,0
19,Secundário,578.3031898656491
19,Terciário,15869.561958000006
19,Outros,0
20,Secundário,115.6840312779305
20,Terciário,8043.240047703419
20,Outros,0
21,Secundário,255.1236427571921
21,Terciário,9429.922266503636
21,Outros,0
22,Secundário,154.06112377500006
22,Terciário,8270.644953429735
22,Outros,0
23,Secundário,0
23,Terciário,17914.649866048523
23,Outros,0
24,Secundário,524.5538236427318
24,Terciário,17471.496142868466
24,Outros,0
25,Secundário,1644.1243489547549
25,Terciário,10497.768419971479
25,Outros,0
26,Secundário,535.0285454438574
26,Terciário,12885.417725476269
26,Outros,0
27,Secundário,795.5571603254402
27,Terciário,44059.664706508775
27,Outros,0
28,Secundário,1018.1557755586903
28,Terciário,27414.346075858393
28,Outros,0
29,Secundário,2531.3904505242144
29,Terciário,42879.387101093336
29,Outros,0
30,Secundário,475.4011361751052
30,Terciário,18107.415512958843
30,Outros,0
31,Secundário,749.4646639870018
31,Terciário,26352.806579971944
31,Outros,0
32,Secundário,3254.407445987038
32,Terciário,44982.41478908699
32,Outros,0
33,Secundário,502.48412379939737
33,Terciário,2623.9719670512886
33,Outros,0
34,Secundário,54.57754661478617
34,Terciário,9910.288354244487
34,Outros,0
35,Secundário,1159.2879388471622
35,Terciário,34634.154198886594
35,Outros,0
36,Secundário,1853.8265677996292
36,Terciário,31279.512865168388
36,Outros,0
37,Secundário,1374.9944605398014
37,Terciário,17644.628828979192
37,Outros,0
38,Secundário,2112.6354830964465
38,Terciário,3017.4112049450296
38,Outros,0
39,Secundário,1388.3060403614995
39,Terciário,7563.203252396563
39,Outros,0
40,Secundário,1291.1016954590896
40,Terciário,16363.382496858188
40,Outros,0
41,Secundário,5916.1933808798285
41,Terciário,18492.23496685867
41,Outros,0
42,Secundário,3774.551696799296
42,Terciário,4970.015936693849
42,Outros,0
43,Secundário,715.1556790878498
43,Terciário,22976.80127487661
43,Outros,0
44,Secundário,2004.891819453494
44,Terciário,16037.500742265436
44,Outros,0
45,Secundário,8079.702709997273
45,Terciário,25402.060604978044
45,Outros,0
46,Secundário,3689.440233460083
46,Terciário,12892.472628206622
46,Outros,0
47,Secundário,2636.5604824280013
47,Terciário,9340.009052192552
47,Outros,0
48,Secundário,1566.5033378525707
48,Terciário,13300.733340601666
48,Outros,0
49,Secundário,245.96676309241178
49,Terciário,19763.18505483875
49,Outros,0
50,Secundário,23.06458483333333
50,Terciário,1822.0857697256524
50,Outros,0
51,Secundário,142.5104116084047
51,Terciário,7022.565500487302
51,Outros,0
52,Secundário,760.558774647887
52,Terciário,13975.640604432716
52,Outros,0
53,Secundário,210.1855586590908
53,Terciário,22841.6499980257
53,Outros,0
54,Secundário,589.7407571528815
54,Terciário,29134.76077269263
54,Outros,0
55,Secundário,1082.2896219675263
55,Terciário,14595.281598819496
55,Outros,0
56,Secundário,252.92453890246946
56,Terciário,21889.7762089005
56,Outros,0
57,Secundário,2331.5208350086014
57,Terciário,42813.854888742055
57,Outros,0
58,Secundário,1417.4167688519665
58,Terciário,15010.366111323809
58,Outros,0
59,Secundário,3742.5028567264926
59,Terciário,27908.702124715528
59,Outros,0
60,Secundário,2363.1410898749587
60,Terciário,13024.699404845349
60,Outros,0
61,Secundário,287.12191196018944
61,Terciário,18447.537495462537
61,Outros,0
62,Secundário,1309.243309246729
62,Terciário,18685.31386502491
62,Outros,0
63,Secundário,159.83234726322615
63,Terciário,12489.989224327348
63,Outros,0
64,Secundário,1480.2523899092612
64,Terciário,39791.53946836199
64,Outros,0
65,Secundário,290.40171004551564
65,Terciário,17265.32032088214
65,Outros,0
66,Secundário,2075.975440166397
66,Terciário,20451.376894953166
66,Outros,0
67,Secundário,154.31082397587045
67,Terciário,8610.586530579407
67,Outros,0
68,Secundário,5516.774941468926
68,Terciário,67889.0150127448
68,Outros,159.74749134042554
69,Secundário,2250.558068568776
69,Terciário,21212.091849916113
69,Outros,0
70,Secundário,1764.1566800496475
70,Terciário,18559.821472124662
70,Outros,0
71,Secundário,2260.7588836703726
71,Terciário,18354.716788977457
71,Outros,0
72,Secundário,6148.649782464642
72,Terciário,18300.928827142096
72,Outros,0
73,Secundário,14386.118245935448
73,Terciário,82824.1141879495
73,Outros,522.3549702674194
74,Secundário,2566.665818102858
74,Terciário,33580.240148752826
74,Outros,86.53547491719773
75,Secundário,95.27942333679268
75,Terciário,12468.909071371025
75,Outros,0
76,Secundário,1549.9592840388943
