COD_ZONA,EMPREGOS_POR_VINCULO_EMPREGATICIO,QTD
1,Assalariado com Carteira,50878.04872781296
1,Assalariado sem Carteira,2696.982224101517
1,Funcionário Público,10478.581133138236
1,Autônomo,3936.3343573755355
1,Empregador,1528.4076502450666
1,Profissional Liberal,1959.0291357855106
1,Dono de Negócio Familiar,374.9303033524963
1,Trabalhador Familiar,0
2,Assalariado com Carteira,31038.469026763043
2,Assalariado sem Carteira,4186.388999024857
2,Funcionário Público,4410.402319136323
2,Autônomo,10162.664496329246
2,Empregador,464.4823744339576
2,Profissional Liberal,408.00434744719735
2,Dono de Negócio Familiar,759.2346244972368
2,Trabalhador Familiar,424.09112371903154
3,Assalariado com Carteira,8482.44272431396
3,Assalariado sem Carteira,743.9648829796953
3,Funcionário Público,4459.6520572459685
3,Autônomo,2485.3690497250172
3,Empregador,589.7119224537543
3,Profissional Liberal,1153.297237214159
3,Dono de Negócio Familiar,632.90895957017494
3,Trabalhador Familiar,0
4,Assalariado com Carteira,11205.694190006763
4,Assalariado sem Carteira,628.9170739988039
4,Funcionário Público,3032.8251997082007
4,Autônomo,5321.224760424236
4,Empregador,204.90975930509168
4,Profissional Liberal,1759.530617150007
4,Dono de Negócio Familiar,237.64244460259596
4,Trabalhador Familiar,163.1965584234694
5,Assalariado com Carteira,54159.11895099025
5,Assalariado sem Carteira,5952.220673259765
5,Funcionário Público,5778.0736125420135
5,Autônomo,8485.584079793529
5,Empregador,3125.816466875745
5,Profissional Liberal,6987.25699037242
5,Dono de Negócio Familiar,4810.736423435651
5,Trabalhador Familiar,187.84829744097235
6,Assalariado com Carteira,22485.617965510202
6,Assalariado sem Carteira,1643.2470933546535
6,Funcionário Público,2957.240436821643
6,Autônomo,6408.295056395489
6,Empregador,1995.0719138096918
6,Profissional Liberal,435.39668638461
6,Dono de Negócio Familiar,2101.4033073478568
6,Trabalhador Familiar,345.64981253846145
7,Assalariado com Carteira,23664.889251281555
7,Assalariado sem Carteira,1927.555539226125
7,Funcionário Público,2331.20685998363
7,Autônomo,4927.460045959695
7,Empregador,834.9220589984343
7,Profissional Liberal,336.4591955651566
7,Dono de Negócio Familiar,927.7412085079357
7,Trabalhador Familiar,97.67680050961539
8,Assalariado com Carteira,11166.059354435949
8,Assalariado sem Carteira,911.0490822869026
8,Funcionário Público,977.3177543905678
8,Autônomo,1502.0387316047606
8,Empregador,72.03673915241637
8,Profissional Liberal,0
8,Dono de Negócio Familiar,451.65552758023483
8,Trabalhador Familiar,0
9,Assalariado com Carteira,9736.090535797934
9,Assalariado sem Carteira,700.0703445212193
9,Funcionário Público,2977.7967369362527
9,Autônomo,2291.427780703686
9,Empregador,522.8295876260089
9,Profissional Liberal,210.36950466632715
9,Dono de Negócio Familiar,53.79711247058825
9,Trabalhador Familiar,0
10,Assalariado com Carteira,5026.453066189878
10,Assalariado sem Carteira,352.56052035729783
10,Funcionário Público,631.9674715625763
10,Autônomo,146.32503868891072
10,Empregador,280.87575232820586
10,Profissional Liberal,185.6457023707668
10,Dono de Negócio Familiar,88.93729581176484
10,Trabalhador Familiar,0
11,Assalariado com Carteira,3266.0224358213636
11,Assalariado sem Carteira,99.69452891736489
11,Funcionário Público,0
11,Autônomo,379.5831321681329
11,Empregador,0
11,Profissional Liberal,16.746443999999993
11,Dono de Negócio Familiar,139.3640376899998
11,Trabalhador Familiar,0
12,Assalariado com Carteira,9682.252004075099
12,Assalariado sem Carteira,3371.1202121231263
12,Funcionário Público,851.7499872389349
12,Autônomo,6045.151146394102
12,Empregador,42.2921019826429
12,Profissional Liberal,20.475956032258054
12,Dono de Negócio Familiar,1054.9179644784722
12,Trabalhador Familiar,0
13,Assalariado com Carteira,5038.732685272277
13,Assalariado sem Carteira,1080.4224045813328
13,Funcionário Público,0
13,Autônomo,2259.9487932594056
13,Empregador,290.269882656605
13,Profissional Liberal,0
13,Dono de Negócio Familiar,524.0771117345223
13,Trabalhador Familiar,87.92780726810692
14,Assalariado com Carteira,18170.350660332668
14,Assalariado sem Carteira,1229.5794813330897
14,Funcionário Público,109.17265187662328
14,Autônomo,5081.997474620134
14,Empregador,1167.771293257231
