COD_ZONA,NUMERO_AUTOMOVEIS,QTD
1,Nenhum Automóvel,832.8141025641028
1,1 Automóvel,318.18589743589746
1,2 Automóveis,0
1,3 Automóveis ou Mais,0
1,...6,1151.0000000000002
2,Nenhum Automóvel,1471.4047619047622
2,1 Automóvel,870.595238095238
2,2 Automóveis,0
2,3 Automóveis ou Mais,0
2,...6,2342
3,Nenhum Automóvel,6017.573235896374
3,1 Automóvel,943.096369984355
3,2 Automóveis,139.33039411927115
3,3 Automóveis ou Mais,0
3,...6,7100
4,Nenhum Automóvel,9211.942174606425
4,1 Automóvel,3376.057825393577
4,2 Automóveis,0
4,3 Automóveis ou Mais,0
4,...6,12588.000000000002
5,Nenhum Automóvel,6442.385477267828
5,1 Automóvel,1562.4002370178846
5,2 Automóveis,0
5,3 Automóveis ou Mais,45.214285714285715
5,...6,8049.999999999997
6,Nenhum Automóvel,7998.501960784315
6,1 Automóvel,1412.4980392156863
6,2 Automóveis,0
6,3 Automóveis ou Mais,0
6,...6,9411.000000000002
7,Nenhum Automóvel,3750.0612446302093
7,1 Automóvel,2591.9387553697898
7,2 Automóveis,0
7,3 Automóveis ou Mais,0
7,...6,6341.999999999999
8,Nenhum Automóvel,2642.0324675324673
8,1 Automóvel,1228.9139610389614
8,2 Automóveis,239.75243506493507
8,3 Automóveis ou Mais,0
8,...6,4110.698863636364
9,Nenhum Automóvel,1815.8982335695243
9,1 Automóvel,372.2775025544788
9,2 Automóveis,78.82426387599591
9,3 Automóveis ou Mais,0
9,...6,2266.999999999999
10,Nenhum Automóvel,335.99411764705866
10,1 Automóvel,131.00588235294123
10,2 Automóveis,0
10,3 Automóveis ou Mais,0
10,...6,466.9999999999999
11,Nenhum Automóvel,442.23068513665294
11,1 Automóvel,468.9240584050918
11,2 Automóveis,0
11,3 Automóveis ou Mais,20.84525645825533
11,...6,932
12,Nenhum Automóvel,2954.117424242425
12,1 Automóvel,1536.0113636363635
12,2 Automóveis,250.87121212121212
12,3 Automóveis ou Mais,0
12,...6,4741
13,Nenhum Automóvel,316.0217607313194
13,1 Automóvel,106.97823926868045
13,2 Automóveis,0
13,3 Automóveis ou Mais,0
13,...6,422.99999999999983
14,Nenhum Automóvel,772.5920938604092
14,1 Automóvel,331.40790613959064
14,2 Automóveis,0
14,3 Automóveis ou Mais,0
14,...6,1104
15,Nenhum Automóvel,2442.516187036604
15,1 Automóvel,654.8656586351526
15,2 Automóveis,99.87876955216193
15,3 Automóveis ou Mais,49.93938477608096
15,...6,3247.2
16,Nenhum Automóvel,2432.6768115183454
16,1 Automóvel,2081.9366346041575
16,2 Automóveis,74.38655387749678
16,3 Automóveis ou Mais,0
16,...6,4589
17,Nenhum Automóvel,1801.310467666857
17,1 Automóvel,628.758025483827
17,2 Automóveis,0
17,3 Automóveis ou Mais,0
17,...6,2430.068493150684
18,Nenhum Automóvel,3765.8909238909223
18,1 Automóvel,2171.8868538868533
18,2 Automóveis,545.1851851851852
18,3 Automóveis ou Mais,109.03703703703704
18,...6,6591.999999999998
19,Nenhum Automóvel,2752.84972560235
19,1 Automóvel,3789.9007145729215
19,2 Automóveis,636.2245106609558
19,3 Automóveis ou Mais,311.02504916376984
19,...6,7489.999999999998
20,Nenhum Automóvel,3371.7220588235296
20,1 Automóvel,4699.013235294117
20,2 Automóveis,905.3235294117649
20,3 Automóveis ou Mais,65.94117647058823
20,...6,9042
21,Nenhum Automóvel,2913.313725490195
21,1 Automóvel,3664.3921568627434
