COD_ZONA,CONDICAO_ATIVIDADE,QTD
1,Ocupado,1432.3588058248502
1,Faz Bico,191.24832295288772
1,Em Licença Médica,0
1,Aposentado,356.5258614411098
1,Sem Trabalho,386.7526790866264
1,Nunca Trabalhou,286.796915425532
1,Dona de Casa,92.898009838146
1,Estudante,515.4203549183136
2,Ocupado,3034.603478666443
2,Faz Bico,163.697277032393
2,Em Licença Médica,83.31109251515151
2,Aposentado,374.0400259263324
2,Sem Trabalho,339.6802787610839
2,Nunca Trabalhou,500.7077732231678
2,Dona de Casa,285.08293351201684
2,Estudante,913.8779027473507
3,Ocupado,7102.527780447362
3,Faz Bico,983.2020078771915
3,Em Licença Médica,137.7583238684208
3,Aposentado,2047.3116074561376
3,Sem Trabalho,1512.7436632149108
3,Nunca Trabalhou,1506.0795697499968
3,Dona de Casa,1102.2624062763139
3,Estudante,2738.115621499998
4,Ocupado,13137.262963885834
4,Faz Bico,1430.0092412818278
4,Em Licença Médica,0
4,Aposentado,2138.3512874969892
4,Sem Trabalho,1265.1298808249717
4,Nunca Trabalhou,1423.4823916923071
4,Dona de Casa,1607.90099609253
4,Estudante,3086.8621187792633
5,Ocupado,10156.074739813193
5,Faz Bico,142.4152422307692
5,Em Licença Médica,0
5,Aposentado,1665.396758307692
5,Sem Trabalho,138.7581576703297
5,Nunca Trabalhou,883.7893685769227
5,Dona de Casa,246.5237479615384
5,Estudante,1723.0418656538468
6,Ocupado,9566.633500080188
6,Faz Bico,2918.384850451217
6,Em Licença Médica,914.5607144237902
6,Aposentado,2467.7010957055636
6,Sem Trabalho,2348.804415669102
6,Nunca Trabalhou,1299.3882014411433
6,Dona de Casa,290.6129194048511
6,Estudante,2182.914894300527
7,Ocupado,7480.210243189737
7,Faz Bico,1148.6779434051284
7,Em Licença Médica,0
7,Aposentado,2471.3509893470086
7,Sem Trabalho,1800.9168443487185
7,Nunca Trabalhou,1952.9185778529923
7,Dona de Casa,956.3534981948721
7,Estudante,2399.567654105984
8,Ocupado,6221.617380979583
8,Faz Bico,210.84676303205129
8,Em Licença Médica,0
8,Aposentado,933.2143717938036
8,Sem Trabalho,1133.7361549412958
8,Nunca Trabalhou,1034.2394426346152
8,Dona de Casa,576.6532170915428
8,Estudante,2141.6904070534206
9,Ocupado,3071.993974632605
9,Faz Bico,320.36774689442575
9,Em Licença Médica,50.05127678378379
9,Aposentado,952.5120126900341
9,Sem Trabalho,642.284106331926
9,Nunca Trabalhou,647.0810453234799
9,Dona de Casa,312.453268704392
9,Estudante,1459.256710663852
10,Ocupado,533.5295047639548
10,Faz Bico,172.5672685142342
10,Em Licença Médica,16.87341425469558
10,Aposentado,184.97012925820457
10,Sem Trabalho,254.07462263590608
10,Nunca Trabalhou,192.41698521789058
10,Dona de Casa,26.851016137048532
10,Estudante,237.717276263254
11,Ocupado,1299.4619191818172
11,Faz Bico,124.86014065200388
11,Em Licença Médica,19.43992800000001
11,Aposentado,315.9297098465299
11,Sem Trabalho,205.53068525806447
11,Nunca Trabalhou,240.76939267839688
11,Dona de Casa,68.15817139393943
11,Estudante,438.850047926686
12,Ocupado,6593.795756580363
12,Faz Bico,242.70903523058826
12,Em Licença Médica,59.80570199999999
12,Aposentado,1914.640562240135
12,Sem Trabalho,921.6057163049504
12,Nunca Trabalhou,1173.2176518550725
12,Dona de Casa,882.141462514451
12,Estudante,2593.0832079344086
13,Ocupado,761.4629630493508
13,Faz Bico,87.10549829402603
13,Em Licença Médica,0
13,Aposentado,118.60958289142866
13,Sem Trabalho,28.61777819116884
13,Nunca Trabalhou,136.33648594077934
13,Dona de Casa,100.61162030337671
13,Estudante,202.25611575844167
14,Ocupado,1911.9973731930909
14,Faz Bico,156.01216107897665
