COD_ZONA,FAIXA_RENDA,QTD
1,até 1.908,937.928736912615
1,1.908 a 3.816,1316.7032168620838
1,3.816 a 7.632,660.2499226527364
1,7.632 a 11.448,347.11907306003076
1,mais de 11.448,0
2,até 1.908,1002.3178855579945
2,1.908 a 3.816,3340.652931937453
2,3.816 a 7.632,1107.8205004036427
2,7.632 a 11.448,244.20944448484846
2,mais de 11.448,0
3,até 1.908,3408.3133784824504
3,1.908 a 3.816,8149.860712609643
3,3.816 a 7.632,4580.821790482452
3,7.632 a 11.448,0
3,mais de 11.448,991.0050988157889
4,até 1.908,2819.5235756441457
4,1.908 a 3.816,7196.843827610032
4,3.816 a 7.632,9492.656251404012
4,7.632 a 11.448,2265.062414650835
4,mais de 11.448,2314.9128107447036
5,até 1.908,1907.4518041153844
5,1.908 a 3.816,7250.362164390105
5,3.816 a 7.632,4076.7547097472543
5,7.632 a 11.448,1444.8027245769235
5,mais de 11.448,276.6284773846155
6,até 1.908,4327.734865766075
6,1.908 a 3.816,15164.125161531198
6,3.816 a 7.632,1969.9322205223907
6,7.632 a 11.448,527.2083436567171
6,mais de 11.448,0
7,até 1.908,1547.2097413333336
7,1.908 a 3.816,7703.630856129911
7,3.816 a 7.632,8381.459271340165
7,7.632 a 11.448,577.6958816410261
7,mais de 11.448,0
8,até 1.908,2471.3797546666674
8,1.908 a 3.816,5288.214638212943
8,3.816 a 7.632,4132.299353257814
8,7.632 a 11.448,259.00625336111096
8,mais de 11.448,101.09773802777772
9,até 1.908,1451.1498042500007
9,1.908 a 3.816,2810.854819607265
9,3.816 a 7.632,2532.563146824327
9,7.632 a 11.448,568.3791162077704
9,mais de 11.448,93.05325513513515
10,até 1.908,489.27836380506454
10,1.908 a 3.816,1061.9569056636522
10,3.816 a 7.632,67.76494757647069
10,7.632 a 11.448,0
10,mais de 11.448,0
11,até 1.908,421.28782461290325
11,1.908 a 3.816,1267.8546844398832
11,3.816 a 7.632,734.9842999706747
11,7.632 a 11.448,168.89847391397842
11,mais de 11.448,119.97471199999994
12,até 1.908,1545.6376021842404
