COD_ZONA,FAIXA_ETARIA,QTD
1,até 3,191.19794361702134
1,4 a 6,143.77226618351074
1,7 a 10,217.37858143617046
1,11 a 14,96.34658875000011
1,15 a 17,115.93178426785727
1,18 a 22,159.95159061816125
1,23 a 29,425.98789284802456
1,30 a 39,711.3237612629188
1,40 a 49,403.54503449734074
1,50 a 59,365.42801740805504
1,60 e mais,431.13748859840473
2,até 3,500.7077732231678
2,4 a 6,107.85006080929995
2,7 a 10,238.07717669846255
2,11 a 14,285.89737772204825
2,15 a 17,156.27175935714283
2,18 a 22,297.99922286206925
2,23 a 29,771.098975434692
2,30 a 39,643.145943683759
2,40 a 49,1228.6058146672644
2,50 a 59,835.3931485289597
2,60 e mais,629.9535093970746
3,até 3,1290.9253454999973
3,4 a 6,215.15422424999957
3,7 a 10,1410.6463076315777
3,11 a 14,489.8197254605259
3,15 a 17,688.592743649122
3,18 a 22,826.9749151140347
3,23 a 29,2170.224730618418
3,30 a 39,3750.928077491224
3,40 a 49,1774.9873007806996
3,50 a 59,1753.869291315787
3,60 e mais,2757.878318578943
4,até 3,1423.4823916923071
4,4 a 6,354.85104199999995
4,7 a 10,1064.5531259999998
4,11 a 14,649.0255407999999
4,15 a 17,590.4798138227422
4,18 a 22,510.0814539826086
4,23 a 29,2895.572248289854
4,30 a 39,4380.767250207356
4,40 a 49,2922.5103421939784
4,50 a 59,4016.474513137121
4,60 e mais,5281.201157927757
5,até 3,883.7893685769227
5,4 a 6,0
5,7 a 10,508.3214628076921
5,11 a 14,775.8925708461543
5,15 a 17,354.5028905769232
5,18 a 22,369.22971980769233
5,23 a 29,1757.3255618791218
5,30 a 39,980.4699897527476
5,40 a 49,3055.3335838846156
5,50 a 59,2632.2553189285723
5,60 e mais,3638.879413153848
6,até 3,982.53410836422
6,4 a 6,611.4523114638353
6,7 a 10,571.9782556304843
6,11 a 14,1021.5331978950701
6,15 a 17,518.3620100244236
6,18 a 22,910.6116459721418
6,23 a 29,2218.794295714575
6,30 a 39,5322.529748913385
6,40 a 49,2583.3721601679035
6,50 a 59,3607.9742631815393
6,60 e mais,3639.858594148803
7,até 3,1148.4933938529919
7,4 a 6,1416.077599179488
7,7 a 10,0
7,11 a 14,1128.0847084444445
7,15 a 17,464.44766155897446
7,18 a 22,1519.0197621743596
7,23 a 29,1927.1157287179492
7,30 a 39,2445.0067366974367
7,40 a 49,1039.2288009025647
7,50 a 59,4196.576475569232
7,60 e mais,2925.9448833470087
8,até 3,731.4448506634614
8,4 a 6,478.29537523566125
8,7 a 10,657.3204379358973
8,11 a 14,617.4213882260458
8,15 a 17,473.599662796896
8,18 a 22,1137.358344387483
8,23 a 29,1020.1491624134612
8,30 a 39,1617.1572750524062
8,40 a 49,2772.667807320624
8,50 a 59,1250.3779370235604
8,60 e mais,1496.2054964708163
9,até 3,422.2923408547298
9,4 a 6,367.1740786875001
9,7 a 10,180.74155467060814
9,11 a 14,541.7328693750003
9,15 a 17,212.7629306782095
9,18 a 22,604.3102978606421
9,23 a 29,784.0964203707773
9,30 a 39,1140.5215054940884
9,40 a 49,895.9499417913855
9,50 a 59,1058.8171046038856
9,60 e mais,1247.6010976376692
10,até 3,119.80695305818234
10,4 a 6,48.47404088965801
10,7 a 10,85.97274846909933
10,11 a 14,82.60627228994554
10,15 a 17,68.5638328532508
10,18 a 22,181.59002615409122
10,23 a 29,99.7661420978329
10,30 a 39,327.04727934925586
10,40 a 49,218.92687031074766
10,50 a 59,174.00096392978057
10,60 e mais,212.24508764334396
11,até 3,152.29620540566958
11,4 a 6,203.5734323636364
11,7 a 10,141.73020930987286
11,11 a 14,66.88501053763437
11,15 a 17,107.44129526881714
11,18 a 22,252.83141605278595
11,23 a 29,226.09700606060613
11,30 a 39,553.3626881612904
11,40 a 49,412.17577229032264
11,50 a 59,183.00391606451612
11,60 e mais,413.60304342228756
12,até 3,1094.5138863550726
12,4 a 6,362.6946179622644
12,7 a 10,802.1184334315876
12,11 a 14,732.8808786080583
12,15 a 17,426.9109677645288
12,18 a 22,820.0668975079692
12,23 a 29,1861.2361428676375
12,30 a 39,1770.2828958174491
12,40 a 49,2259.120229074141
12,50 a 59,1812.2363023604892
12,60 e mais,2438.9378429107705
13,até 3,99.50378439532474
13,4 a 6,63.38580085714292
13,7 a 10,0
13,11 a 14,134.64149627740264
13,15 a 17,41.180536013506526
13,18 a 22,116.08484956675335
13,23 a 29,145.638860484156
13,30 a 39,178.20008352103912
13,40 a 49,283.0124441797406
13,50 a 59,192.7720231833768
13,60 e mais,180.58016595013004
14,até 3,253.90801510436432
14,4 a 6,64.38700368121442
14,7 a 10,201.85715667552182
14,11 a 14,171.73729917686313
14,15 a 17,54.41494709677419
14,18 a 22,230.29728712281621
14,23 a 29,419.67200261375376
14,30 a 39,466.0247054666623
14,40 a 49,532.5932375574821
14,50 a 59,532.3320002496237
14,60 e mais,409.7773317405614
15,até 3,523.6555711374579
15,4 a 6,881.8869741429519
15,7 a 10,189.09687631578947
15,11 a 14,152.60476595744692
15,15 a 17,0
15,18 a 22,887.8245540159578
15,23 a 29,890.9732835806269
15,30 a 39,1632.1869233573618
15,40 a 49,892.2356802858343
15,50 a 59,1285.467636929101
15,60 e mais,1091.0698403677209
16,até 3,474.8142621951222
16,4 a 6,830.7649487359791
16,7 a 10,650.1067912930829
16,11 a 14,556.6380222592859
16,15 a 17,472.74800872131146
16,18 a 22,513.6765995953618
16,23 a 29,1571.2689578157372
16,30 a 39,1882.8239616662809
16,40 a 49,1607.00905740851
16,50 a 59,1872.5537428280263
16,60 e mais,1684.5936950595553
17,até 3,504.83204531724226
17,4 a 6,198.51583720197107
17,7 a 10,477.9704860788182
17,11 a 14,265.9060314384243
17,15 a 17,221.56244572413837
17,18 a 22,481.6317828436787
17,23 a 29,770.1653533845656
17,30 a 39,1579.9889378364558
17,40 a 49,959.0276940137946
17,50 a 59,724.1463894226612
17,60 e mais,796.2533173070622
18,até 3,1217.537257242579
18,4 a 6,676.9704036514914
18,7 a 10,550.22903392405
18,11 a 14,925.6400727088602
18,15 a 17,859.6797464050632
18,18 a 22,722.8603146922051
18,23 a 29,2008.1069514043975
18,30 a 39,4269.57508704508
18,40 a 49,2406.593696845289
18,50 a 59,2052.3356526442376
18,60 e mais,3550.475799142054
19,até 3,760.6424708703787
19,4 a 6,551.3111922616829
19,7 a 10,1397.6521765233663
19,11 a 14,922.1329585440885
19,15 a 17,579.0333181869166
19,18 a 22,1561.7092962706238
19,23 a 29,1728.348629792769
19,30 a 39,3307.0988487920613
19,40 a 49,2584.39803202926
19,50 a 59,3046.2723002556922
19,60 e mais,4293.400913382979
20,até 3,1263.2098172928252
20,4 a 6,537.7025415927878
20,7 a 10,259.65998847368405
20,11 a 14,1358.579668756703
20,15 a 17,323.3967928092104
20,18 a 22,1128.0236210981252
20,23 a 29,2548.228565882075
20,30 a 39,4147.166937505462
20,40 a 49,4958.248440623632
20,50 a 59,2654.894287269115
20,60 e mais,3883.894141322242
21,até 3,908.3037121643849
21,4 a 6,341.7150109109594
21,7 a 10,499.94094014236833
21,11 a 14,1021.0308244068823
21,15 a 17,592.5888880955647
21,18 a 22,1014.2071307304317
21,23 a 29,1634.647781178083
21,30 a 39,2713.852792425311
21,40 a 49,1840.0389603574718
21,50 a 59,3985.638760236138
21,60 e mais,4139.03371935404
22,até 3,467.72188645054945
22,4 a 6,304.63559630769237
22,7 a 10,492.35618765714275
22,11 a 14,754.9327903999998
22,15 a 17,314.96271822857165
22,18 a 22,796.3086339596158
22,23 a 29,1251.2650417142859
22,30 a 39,2641.738395692033
22,40 a 49,1756.6132364942307
22,50 a 59,2125.740769947802
22,60 e mais,2716.7261736934097
23,até 3,219.64156906329094
23,4 a 6,294.272331527426
23,7 a 10,138.2847048607594
23,11 a 14,138.2847048607594
23,15 a 17,75.35635503797462
23,18 a 22,261.04932280168754
23,23 a 29,588.2837721518982
23,30 a 39,1346.125467797467
23,40 a 49,620.3052679831218
23,50 a 59,409.27540432067474
23,60 e mais,1241.1208350042189
24,até 3,323.8139322
24,4 a 6,536.85073375
24,7 a 10,600.2864008074469
24,11 a 14,232.53966945000002
24,15 a 17,196.46267857021277
24,18 a 22,749.1674067829788
24,23 a 29,1035.3777292042553
24,30 a 39,2516.582427785105
24,40 a 49,1398.349988402128
