COD_ZONA,GENERO,QTD
1,Masculino,1906.5863629369328
1,Feminino,1355.4145865505338
2,Masculino,2844.2018947204074
2,Feminino,2850.7988676635327
3,Masculino,7190.159317078942
3,Feminino,9939.841663311394
4,Masculino,13334.698454785055
4,Feminino,10754.300425268666
5,Masculino,7313.229367807691
5,Feminino,7642.7705124065915
6,Masculino,9165.654684351079
6,Feminino,12823.3459071253
7,Masculino,9081.409265976064
7,Feminino,9128.586484468373
8,Masculino,6218.863509123478
8,Feminino,6033.134228402831
9,Masculino,3457.925384592064
9,Feminino,3998.0747574324355
10,Masculino,765.6383366977077
10,Feminino,853.3618803474792
11,Masculino,1407.583318382209
11,Feminino,1305.4166765552293
12,Masculino,7181.525033783978
12,Feminino,7199.474060875988
13,Masculino,705.5893364992211
13,Feminino,729.4107079293508
14,Masculino,1373.3520371872019
14,Feminino,1963.6489492984372
15,Masculino,4175.529296828004
15,Feminino,4251.47280926225
16,Masculino,4715.683655005996
16,Feminino,7401.314392572254
17,Masculino,3390.034513280465
17,Feminino,3589.9658072883453
18,Masculino,9962.3383049732
18,Feminino,9277.665710732099
19,Masculino,9381.537937983545
19,Feminino,11350.462198926252
20,Masculino,11285.054265672787
20,Feminino,11777.950536953082
21,Masculino,9503.317237420904
21,Feminino,9187.681282580725
22,Masculino,7006.724091069234
22,Feminino,6616.277339476108
23,Masculino,2574.2698081856533
23,Feminino,2757.7299272236282
24,Masculino,5178.449254219153
24,Feminino,6244.554651219157
25,Masculino,10186.990707712137
25,Feminino,8214.011285031555
26,Masculino,6908.2682738299445
26,Feminino,7372.7303363555475
27,Masculino,8307.468602983523
27,Feminino,9228.533692980494
28,Masculino,3788.2211198470627
28,Feminino,5279.780988861767
29,Masculino,6526.849798123488
29,Feminino,6724.148803142129
30,Masculino,7713.426298184172
30,Feminino,11741.576489733528
31,Masculino,9619.093240057198
31,Feminino,10414.90162191372
32,Masculino,4417.044796341175
32,Feminino,4138.954625086954
33,Masculino,858.4333032592556
33,Feminino,980.5662540185143
34,Masculino,3219.817993463043
34,Feminino,4336.17991908172
35,Masculino,18275.20326654085
35,Feminino,21756.793068752686
36,Masculino,19113.22582250443
36,Feminino,23980.788137275344
37,Masculino,2061.095826761904
37,Feminino,2545.9040881644964
38,Masculino,1785.5849871857135
38,Feminino,2000.4149587285701
39,Masculino,3874.678182277309
39,Feminino,5482.319143282806
40,Masculino,3602.748233553246
40,Feminino,4275.25096820368
41,Masculino,10606.886986880796
41,Feminino,11444.108587818477
42,Masculino,2637.9415521359456
42,Feminino,2690.059394210456
43,Masculino,14124.905771453374
43,Feminino,13833.098204432841
44,Masculino,8354.996815785706
44,Feminino,9995.001736271422
45,Masculino,15921.625129041098
45,Feminino,17349.37395298891
46,Masculino,17865.885668135514
46,Feminino,18404.110248777743
47,Masculino,10095.460112820325
47,Feminino,12907.545338830994
48,Masculino,12573.579110396773
48,Feminino,11350.423509399536
49,Masculino,6822.820661629069
49,Feminino,6563.1771543655905
50,Masculino,4402.276733883687
50,Feminino,4493.7241990557295
51,Masculino,7216.689649046185
51,Feminino,8868.30633713987
52,Masculino,6360.4683738666645
52,Feminino,3784.53419348034
53,Masculino,5740.455988307781
53,Feminino,7552.543741498635
54,Masculino,3670.4667883922243
54,Feminino,5044.53318937802
55,Masculino,6171.761889163182
55,Feminino,9346.23693562637
56,Masculino,9862.73415017199
56,Feminino,11754.263077226467
57,Masculino,11008.035007864682
57,Feminino,13325.968012262587
58,Masculino,14835.365608148402
58,Feminino,15943.637595260027
59,Masculino,22776.613573403833
59,Feminino,29968.393396863146
60,Masculino,8824.692457012714
60,Feminino,13234.310945833668
61,Masculino,11083.339709562826
61,Feminino,17016.653577593253
62,Masculino,2618.4094536012276
62,Feminino,1946.5889829634184
63,Masculino,998.6426559029513
63,Feminino,1100.3567241392382
64,Masculino,15344.601137782187
64,Feminino,18041.38619002486
65,Masculino,13022.393459196834
65,Feminino,13837.610855662717
66,Masculino,4450.419992147496
66,Feminino,6472.580599225135
67,Masculino,5294.807610516592
67,Feminino,5279.190339525248
68,Masculino,14334.819976705337
68,Feminino,13125.186338959844
69,Masculino,4742.07541474137
69,Feminino,5278.926646313602
70,Masculino,5160.23121309111
70,Feminino,6542.769645057227
71,Masculino,13016.98945144735
71,Feminino,15426.006496302602
72,Masculino,4407.950234994923
72,Feminino,5684.047360290792
73,Masculino,4228.389733356808
73,Feminino,4529.609152438071
74,Masculino,5230.259387155778
74,Feminino,7534.740676077033
75,Masculino,6577.321814280442
75,Feminino,7699.6798156498735
76,Masculino,5275.526956559409
76,Feminino,5632.47033235585
77,Masculino,9399.915642229309
77,Feminino,11606.082208349613
78,Masculino,10022.318958804108
78,Feminino,10753.678063655381
79,Masculino,4955.139839562073
79,Feminino,5734.85950615241
80,Masculino,9244.356142569368
80,Feminino,10446.647726421508
81,Masculino,5884.790053917906
81,Feminino,6765.214052611933
82,Masculino,5353.704933415409
82,Feminino,5908.293556885104
83,Masculino,10418.509232262984
83,Feminino,11856.493416302543
84,Masculino,6418.989180029261
84,Feminino,10138.009569660968
85,Masculino,1872.7493466597246
85,Feminino,3160.251125184027
86,Masculino,1822.3835115276124
86,Feminino,1906.6169025460185
87,Masculino,7848.5060191820785
87,Feminino,8505.491441591466
88,Masculino,20639.4094739969
88,Feminino,24716.59596979217
89,Masculino,7066.066546023808
89,Feminino,6926.932064714286
90,Masculino,6076.765696849279
90,Feminino,7155.236324362934
