COD_ZONA,GRAU_INSTRUCAO,QTD
1,Não Alfabetizado/ Fundamental I Incompleto,729.8478164395904
1,Fundamental I Completo/ Fundamental II Incompleto,414.1815928012922
1,Fundamental II Completo/ Médio Incompleto,500.0382275440733
1,Médio Completo/ Superior Incompleto,972.4923680208977
1,Superior Completo,645.4409446816117
2,Não Alfabetizado/ Fundamental I Incompleto,974.3703872711603
2,Fundamental I Completo/ Fundamental II Incompleto,537.838370111659
2,Fundamental II Completo/ Médio Incompleto,940.4339340069417
2,Médio Completo/ Superior Incompleto,2681.1474884335726
2,Superior Completo,561.2105825606063
3,Não Alfabetizado/ Fundamental I Incompleto,3982.2917457061344
3,Fundamental I Completo/ Fundamental II Incompleto,1601.4428333640326
3,Fundamental II Completo/ Médio Incompleto,2729.1771708333304
3,Médio Completo/ Superior Incompleto,6773.588911789468
3,Superior Completo,2043.5003186973668
4,Não Alfabetizado/ Fundamental I Incompleto,4316.43153443545
4,Fundamental I Completo/ Fundamental II Incompleto,1912.4586506561868
4,Fundamental II Completo/ Médio Incompleto,1665.162465317725
4,Médio Completo/ Superior Incompleto,7945.870248589964
4,Superior Completo,8249.075981054402
5,Não Alfabetizado/ Fundamental I Incompleto,1909.0767051153841
5,Fundamental I Completo/ Fundamental II Incompleto,1797.2705857692313
5,Fundamental II Completo/ Médio Incompleto,1313.127641000001
5,Médio Completo/ Superior Incompleto,3783.488078368133
5,Superior Completo,6153.036869961538
6,Não Alfabetizado/ Fundamental I Incompleto,3272.5896981247533
6,Fundamental I Completo/ Fundamental II Incompleto,4023.7848122452106
6,Fundamental II Completo/ Médio Incompleto,1931.8236979547034
6,Médio Completo/ Superior Incompleto,8687.471339181397
6,Superior Completo,4073.331043970316
7,Não Alfabetizado/ Fundamental I Incompleto,4429.186094300856
7,Fundamental I Completo/ Fundamental II Incompleto,923.4891175794876
7,Fundamental II Completo/ Médio Incompleto,1827.553209422223
7,Médio Completo/ Superior Incompleto,7055.858672601705
7,Superior Completo,3973.9086565401713
8,Não Alfabetizado/ Fundamental I Incompleto,2081.82153799314
8,Fundamental I Completo/ Fundamental II Incompleto,2132.824772306174
