COD_ZONA,VINCULO_EMPREGATICIO,QTD
1,Assalariado...2,687.28567162880006
1,Assalariado...3,103.96453369414903
1,Funcionário,230.17654355281178
1,...5,317.08651709384526
1,...6,76.370360685030448
1,Profissional,38.11701708928576
1,Dono de,93.845539855243231
1,Trabalhador,76.760945178571518
1,...10,1623.60712877774
2,Assalariado...2,1003.009416924168
2,Assalariado...3,671.89916072988535
2,Funcionário,120.57927677586224
2,...5,1240.1833210768032
2,...6,68.74302007142856
2,Profissional,137.00456037722057
2,Dono de,40.193092258620744
2,Trabalhador,0
2,...10,3281.61184821399
3,Assalariado...2,4159.2584717806967
3,Assalariado...3,1268.0211606008766
3,Funcionário,137.7583238684208
3,...5,1670.3905666403484
3,...6,79.43816666666666
3,Profissional,0
3,Dono de,770.66728343859575
3,Trabalhador,137.95413919736816
3,...10,8223.48811219297
4,Assalariado...2,6036.1004570356727
4,Assalariado...3,840.41838808227385
4,Funcionário,877.02015521493831
4,...5,4679.5091080711236
4,...6,174.35600564102555
4,Profissional,1959.8680911226299
4,Dono de,0
4,Trabalhador,0
4,...10,14567.2722051677
5,Assalariado...2,2196.4596779835165
5,Assalariado...3,769.12259794505519
5,Funcionário,804.27451544505516
5,...5,2081.8882484615392
5,...6,799.72919659340687
5,Profissional,2360.9953423461548
5,Dono de,940.37059073076966
5,Trabalhador,345.64981253846145
5,...10,10298.489982044
6,Assalariado...2,6709.6616606238467
6,Assalariado...3,1154.5244357164884
6,Funcionário,290.61291940485108
6,...5,4234.4416515025805
6,...6,407.76299807196955
6,Profissional,375.82188060560861
6,Dono de,226.75351902985108
6,Trabalhador,0
6,...10,13399.5790649552
7,Assalariado...2,3731.6189842256417
7,Assalariado...3,354.40454646153864
7,Funcionário,206.92823306666668
7,...5,3052.5357427589756
7,...6,475.44193835897448
7,Profissional,127.11778215384625
7,Dono de,680.84095956923079
7,Trabalhador,0
7,...10,8628.88818659488
8,Assalariado...2,3360.3006768686437
8,Assalariado...3,551.39157401968066
8,Funcionário,146.71173521153847
8,...5,1814.7257302447135
8,...6,0
8,Profissional,0
