COD_ZONA,TIPO_RENDA,QTD
1,Familiar...3,3264.3019456691186
1,Per Capita,1151.8119085941719
1,Familiar...5,2884.1917969777733
2,Familiar...3,3104.5878529623997
2,Per Capita,1276.7241050542561
2,Familiar...5,2884.1917969777733
3,Familiar...3,3919.328811604226
3,Per Capita,1624.473611778854
3,Familiar...5,3400
4,Familiar...3,5209.049144341562
4,Per Capita,2722.0521265940356
4,Familiar...5,3579.5773007233374
5,Familiar...3,4248.337484478004
5,Per Capita,2286.648637600677
5,Familiar...5,3500
6,Familiar...3,2678.7987019575758
6,Per Capita,1146.4902408477344
6,Familiar...5,2323.8951481988993
7,Familiar...3,4226.570290280834
7,Per Capita,1471.988744440361
7,Familiar...5,3987.8200213074133
8,Familiar...3,3360.8079830568067
8,Per Capita,1127.5932180869747
8,Familiar...5,2800
9,Familiar...3,3383.6538041860294
9,Per Capita,1028.8013717777271
9,Familiar...5,2500
10,Familiar...3,2198.0915076181427
10,Per Capita,634.0386636458496
10,Familiar...5,2323.8951481988993
11,Familiar...3,3475.8073929206566
11,Per Capita,1194.0481003490588
11,Familiar...5,3000
12,Familiar...3,3500.005036867465
12,Per Capita,1153.8505614641367
12,Familiar...5,2588.930150365536
13,Familiar...3,2730.7728695562737
13,Per Capita,804.9595038739387
13,Familiar...5,2550
14,Familiar...3,2947.491403286272
14,Per Capita,975.1362143452726
14,Familiar...5,2732.57590976586
15,Familiar...3,2735.0821425997574
15,Per Capita,1053.9167573046307
15,Familiar...5,2500
16,Familiar...3,3207.5285556173203
16,Per Capita,1214.7685824435491
16,Familiar...5,3044.220031372028
17,Familiar...3,3044.942922526898
17,Per Capita,1060.0887563959
17,Familiar...5,3000
18,Familiar...3,5070.790175874632
18,Per Capita,1737.3514481639386
18,Familiar...5,3778.188723137328
19,Familiar...3,5314.657750612096
19,Per Capita,1920.064937739184
19,Familiar...5,4949.292915471136
20,Familiar...3,5949.8390263732545
20,Per Capita,2332.6728211209324
20,Familiar...5,4800
21,Familiar...3,5906.289215753305
21,Per Capita,2339.637730249715
21,Familiar...5,6142.579211762394
22,Familiar...3,5427.276435546922
22,Per Capita,2388.750355305268
22,Familiar...5,4000
23,Familiar...3,4127.774027258391
23,Per Capita,1976.4080297317887
23,Familiar...5,3579.5773007233374
24,Familiar...3,3627.879939827998
24,Per Capita,1703.5753605908192
24,Familiar...5,3213.1273686852314
25,Familiar...3,3629.362285380057
25,Per Capita,1577.1087273042488
25,Familiar...5,3044.220031372028
26,Familiar...3,4387.082553360669
26,Per Capita,1994.8702448560796
26,Familiar...5,4209.082628655712
27,Familiar...3,7805.720816430832
27,Per Capita,3398.977894065631
27,Familiar...5,6000
28,Familiar...3,5357.215141870363
28,Per Capita,2605.9407251455627
28,Familiar...5,4689.119012599244
29,Familiar...3,5988.582322277093
29,Per Capita,3203.7630793023936
29,Familiar...5,4949.292915471136
30,Familiar...3,9274.3921939284
30,Per Capita,4384.15575141565
30,Familiar...5,6843.126521721684
31,Familiar...3,4442.969428766649
31,Per Capita,2496.925508024329
31,Familiar...5,3800
32,Familiar...3,5695.567501701376
32,Per Capita,3055.476461035772
32,Familiar...5,4949.292915471136
33,Familiar...3,11733.006771789658
33,Per Capita,3745.1205182646067
33,Familiar...5,11000
34,Familiar...3,12630.92828636843
34,Per Capita,5334.211659175469
34,Familiar...5,9000
35,Familiar...3,3898.7609675555505
35,Per Capita,1860.657351716426
35,Familiar...5,3044.220031372028
36,Familiar...3,5514.8258875230385
36,Per Capita,2431.5435766345254
36,Familiar...5,4442.6219037445335
37,Familiar...3,5570.981829098459
37,Per Capita,1844.0953866418506
37,Familiar...5,5000
38,Familiar...3,4667.074578855225
38,Per Capita,1350.419158130671
38,Familiar...5,4000
39,Familiar...3,4434.296789508094
39,Per Capita,1462.934498422771
39,Familiar...5,3579.5773007233374
40,Familiar...3,3624.132076960932
40,Per Capita,1192.863090600965
40,Familiar...5,3000
41,Familiar...3,3717.895998657758
41,Per Capita,1256.5153027380775
41,Familiar...5,3200
42,Familiar...3,3860.4117537365237
42,Per Capita,1113.6358505269793
42,Familiar...5,2900
43,Familiar...3,5367.124401825992
43,Per Capita,1939.2904713086743
43,Familiar...5,5000
44,Familiar...3,5188.283535063131
44,Per Capita,1861.2791938063558
44,Familiar...5,4100
45,Familiar...3,4999.470083717866
45,Per Capita,1800.0256615438661
45,Familiar...5,4860
46,Familiar...3,4263.685617407729
46,Per Capita,1514.4111555025847
46,Familiar...5,3391.4064624103316
47,Familiar...3,4451.50789658337
47,Per Capita,1585.6908690157975
47,Familiar...5,3500
48,Familiar...3,4217.986094874235
48,Per Capita,1502.8469125378358
48,Familiar...5,4000
49,Familiar...3,6120.448984294538
49,Per Capita,2686.669961109836
49,Familiar...5,4600
50,Familiar...3,5032.4620402393275
50,Per Capita,1853.2311055386358
50,Familiar...5,4209.082628655712
51,Familiar...3,9420.730551425606
51,Per Capita,3586.1453254895314
51,Familiar...5,7500
52,Familiar...3,9855.518234438245
