COD_ZONA,TEMPO_MEDIO_VIAGEM,QTD
1,Coletivo,67.41106406208799
1,Individual,44.90085704475586
1,A pé,8.739020524632476
1,Bicicleta,15.190885300896328
2,Coletivo,77.51017135032248
2,Individual,58.36575713734289
2,A pé,12.013463563952051
2,Bicicleta,17.81973745078969
3,Coletivo,56.12148901509189
3,Individual,37.28289969235366
3,A pé,10.595235088829009
3,Bicicleta,10
4,Coletivo,69.98291358027096
4,Individual,29.72059872435006
4,A pé,14.302773459289497
4,Bicicleta,14.767142119388135
5,Coletivo,72.0671447720176
5,Individual,42.272191602081456
5,A pé,8.086454185350995
5,Bicicleta,24.252023671197612
6,Coletivo,64.24251606751042
6,Individual,45.60447846718796
6,A pé,10.148561025897664
6,Bicicleta,15.036523161911816
7,Coletivo,71.35034093708963
7,Individual,39.6297753338627
7,A pé,11.019936933600219
7,Bicicleta,36.117735560234365
8,Coletivo,63.76445204013969
8,Individual,52.27781666833006
8,A pé,13.116738321943526
8,Bicicleta,14.569589721715829
9,Coletivo,81.7727406244103
9,Individual,53.13339730696097
9,A pé,11.48738069044575
9,Bicicleta,37.640257526820136
10,Coletivo,63.40339428551853
10,Individual,21.04959835256805
10,A pé,11.367486803458313
10,Bicicleta,8.662690069784722
11,Coletivo,67.91443804997559
11,Individual,29.376031514534272
11,A pé,13.119525528114115
11,Bicicleta,15
12,Coletivo,79.99951381306936
12,Individual,39.738674649045535
12,A pé,11.477027750513477
12,Bicicleta,19.221336023953775
13,Coletivo,88.25682946961261
13,Individual,28.629854047058174
13,A pé,9.972856191729683
13,Bicicleta,10
14,Coletivo,78.44996762601167
14,Individual,57.997360005064536
14,A pé,9.660835919079755
14,Bicicleta,10.745241618112868
15,Coletivo,79.27670469127777
15,Individual,35.1505954394994
15,A pé,13.96218840765692
15,Bicicleta,13.929577566995423
16,Coletivo,67.68757284925547
16,Individual,43.324774946278886
16,A pé,11.662000451274912
16,Bicicleta,27.673742858576553
17,Coletivo,71.69529527020501
17,Individual,36.710870496796126
17,A pé,11.092762903981198
17,Bicicleta,16.783278663722427
18,Coletivo,76.27383283113834
18,Individual,30.79959154520057
18,A pé,12.545947907674913
18,Bicicleta,18.58547651631578
19,Coletivo,65.960439593552
19,Individual,24.388003135546764
19,A pé,10.808384423654658
19,Bicicleta,90
20,Coletivo,49.32898588493866
20,Individual,21.299695839818984
20,A pé,14.693135542448658
20,Bicicleta,10
21,Coletivo,54.09855919657451
21,Individual,20.248307402830388
21,A pé,9.118832659261285
21,Bicicleta,30
22,Coletivo,57.546885060835265
22,Individual,30.995033430378875
22,A pé,16.150493695979193
22,Bicicleta,29.341064598040454
23,Coletivo,75.74857830907985
23,Individual,46.65155499974903
23,A pé,9.533858191755781
23,Bicicleta,18.654539188566165
24,Coletivo,66.43968457447565
24,Individual,34.122888377034506
24,A pé,10.836906335672504
24,Bicicleta,26.630876563083394
25,Coletivo,63.61260158519785
25,Individual,25.09379251971782
25,A pé,14.54692747039809
25,Bicicleta,22.5
26,Coletivo,63.9239940663816
26,Individual,46.17387260867022
26,A pé,12.447629708295334
26,Bicicleta,14.316632732974545
27,Coletivo,75.14331677582035
27,Individual,32.33827909815149
27,A pé,12.847635018968262
27,Bicicleta,25.696187475164166
28,Coletivo,63.96506919461145
28,Individual,54.099136126557354
28,A pé,10.578070229383414
28,Bicicleta,25.740069682850507
29,Coletivo,73.36690503208408
29,Individual,38.221806657133016
29,A pé,10.388785740740705
29,Bicicleta,31.870409748741917
30,Coletivo,84.3814386788889
30,Individual,32.53265703684292
30,A pé,13.137615746948397
30,Bicicleta,26.258679177837074
31,Coletivo,61.981764740380335
31,Individual,32.960838843353336
31,A pé,11.077730267396388
31,Bicicleta,28.391395085949572
32,Coletivo,68.93786671382145
32,Individual,37.030932362821424
32,A pé,10.557775040052356
32,Bicicleta,28.87958290863409
33,Coletivo,87.68467147959329
33,Individual,28.431849754088162
33,A pé,16.958832780684155
33,Bicicleta,29.651463380868933
34,Coletivo,74.85774213283077
34,Individual,34.478583813308575
34,A pé,13.515448037672133
34,Bicicleta,27.21816795657846
35,Coletivo,61.68525755735605
35,Individual,34.55470961049349
35,A pé,15.421616674284842
35,Bicicleta,21.08869442473397
36,Coletivo,61.738799945306916
36,Individual,25.829123083549717
36,A pé,11.057225009057353
36,Bicicleta,13.073809650280738
37,Coletivo,83.88018767971809
37,Individual,35.71275922783291
37,A pé,10.785878688082452
37,Bicicleta,23.273465566342438
38,Coletivo,67.96320298375113
38,Individual,39.988933405969284
38,A pé,23.14463213501455
38,Bicicleta,0
39,Coletivo,70.58767196785983
39,Individual,29.799593178061457
39,A pé,10.366665499649788
39,Bicicleta,20
40,Coletivo,74.07581448751341
40,Individual,30.268174079273056
40,A pé,8.295197723972636
40,Bicicleta,36.66666666666667
41,Coletivo,63.3169623202977
41,Individual,34.418178357346996
41,A pé,9.303622343545328
41,Bicicleta,29.945857559812154
42,Coletivo,81.47822213655971
42,Individual,36.08446750711471
42,A pé,10.859430223919656
42,Bicicleta,22.763016865595898
43,Coletivo,64.29861452188048
43,Individual,29.936564184300607
43,A pé,13.555044686091172
43,Bicicleta,22.491816807863938
44,Coletivo,74.44461492791845
44,Individual,26.510558864049454
44,A pé,11.464842700579243
44,Bicicleta,15
45,Coletivo,68.4384067454433
45,Individual,34.53545787357469
45,A pé,9.289235935128284
45,Bicicleta,30.369276276298653
46,Coletivo,45.55791194393958
46,Individual,18.807817987994042
46,A pé,8.83626762365644
46,Bicicleta,30
47,Coletivo,67.35736192883421
47,Individual,22.64490181934916
47,A pé,10.691496923030073
47,Bicicleta,23.744180514655426
48,Coletivo,59.66341686359776
48,Individual,23.90636002700428
48,A pé,11.061354101408934
48,Bicicleta,22.444393853458067
49,Coletivo,69.02127092823895
49,Individual,27.448510521803282
49,A pé,12.764041226606423
49,Bicicleta,23.679422843995845
50,Coletivo,48.96643725153963
50,Individual,17.7420389092057
50,A pé,14.629689519742412
50,Bicicleta,20
51,Coletivo,56.62596009945356
51,Individual,21.03783326809932
51,A pé,13.343292678793738
51,Bicicleta,25
52,Coletivo,69.80146602616644
52,Individual,37.958326594189664
52,A pé,17.099857574295562
52,Bicicleta,0
53,Coletivo,70.99886934699413
53,Individual,29.703252266176285
53,A pé,13.120464467753655
53,Bicicleta,36.347477874905564
54,Coletivo,74.68262733187521
54,Individual,40.53370458745814
54,A pé,9.037599602489903
54,Bicicleta,52.8277351992939
55,Coletivo,70.24035140654813
55,Individual,32.064273569977075
55,A pé,11.274881375739804
55,Bicicleta,20
56,Coletivo,64.32100259987638
56,Individual,24.9225346307459
56,A pé,13.556756741854675
56,Bicicleta,30.240344787022845
57,Coletivo,73.50232142238954
57,Individual,26.620894268065598
57,A pé,10.948169391543214
57,Bicicleta,18.82407697829996
58,Coletivo,63.36608777074009
58,Individual,27.702567852340348
58,A pé,16.618938862596067
58,Bicicleta,30
59,Coletivo,53.82093339494342
59,Individual,28.901462209553106
59,A pé,9.790790665969581
59,Bicicleta,14.976760347705408
60,Coletivo,63.59159557541546
60,Individual,21.480594239618814
60,A pé,13.003460399944311
60,Bicicleta,17.292901820282943
61,Coletivo,63.44560528274505
61,Individual,30.308520009105965
61,A pé,12.782298935288773
61,Bicicleta,30
62,Coletivo,88.46220299556443
62,Individual,36.766463721684076
62,A pé,13.134412632725748
62,Bicicleta,20.38627866722562
63,Coletivo,86.36372463062848
63,Individual,42.58949492572814
63,A pé,15.11017513387281
63,Bicicleta,22.265746710015986
64,Coletivo,78.06578895377108
64,Individual,29.26802787838661
64,A pé,7.297045306837367
64,Bicicleta,17.72091849955532
65,Coletivo,75.89360748650499
65,Individual,26.1444361568007
65,A pé,8.94724265106697
65,Bicicleta,9.691384310312458
66,Coletivo,74.1508219070302
66,Individual,29.201293065749397
66,A pé,10.639238646785165
66,Bicicleta,32.99657825314272
67,Coletivo,72.00541427910485
67,Individual,26.829183116803538
67,A pé,10.965569622786388
67,Bicicleta,25
68,Coletivo,83.94984450107249
68,Individual,33.892001442943055
68,A pé,8.068402629192377
68,Bicicleta,23.00056144656763
69,Coletivo,80.3964130788852
69,Individual,32.860613805006416
69,A pé,6.993837038091171
69,Bicicleta,18.110503447813883
70,Coletivo,74.49040921857157
70,Individual,35.787480992776494
70,A pé,8.989639174079604
70,Bicicleta,18.58511804436019
71,Coletivo,65.33455067336595
71,Individual,27.41930862058647
71,A pé,10.897111871959464
71,Bicicleta,30.82386715924303
72,Coletivo,77.74306903680282
72,Individual,31.819162636115095
72,A pé,11.628467139491937
72,Bicicleta,22.13519054963515
73,Coletivo,80.17508446655503
73,Individual,41.69858960205672
73,A pé,7.00208094277151
73,Bicicleta,18.480692450255347
74,Coletivo,77.00493879480304
74,Individual,31.572124091720532
74,A pé,10.330590860830359
74,Bicicleta,18.15703870541795
75,Coletivo,93.38095651139076
75,Individual,31.301408867888963
75,A pé,9.864027581716398
75,Bicicleta,13.344168974929625
76,Coletivo,77.79291854098956
76,Individual,40.323739508064776
76,A pé,9.50222967032691
76,Bicicleta,25.699662352597517
77,Coletivo,75.92633578663983
77,Individual,30.245827067087653
77,A pé,11.348975435500957
77,Bicicleta,21.570939613350788
78,Coletivo,71.99893343367943
78,Individual,28.177542339682223
78,A pé,9.91103737027417
78,Bicicleta,36.18521759253077
79,Coletivo,78.27267986875373
79,Individual,43.64509042287809
79,A pé,8.792639008914012
79,Bicicleta,35.97597756219659
80,Coletivo,68.73914009149696
80,Individual,29.75613482475399
80,A pé,9.293431431584159
80,Bicicleta,20.59070826409491
81,Coletivo,87.26320124966298
81,Individual,29.865808006002357
81,A pé,8.194605783115525
81,Bicicleta,18.840575344714342
82,Coletivo,75.28124524903241
82,Individual,37.425251351909985
82,A pé,7.971320867050451
82,Bicicleta,22.137980683423148
83,Coletivo,65.17162166283073
83,Individual,25.5809100447003
83,A pé,10.42923962013228
83,Bicicleta,18.951957704834744
84,Coletivo,67.75404188015801
84,Individual,27.601537537254913
84,A pé,10.766773669797534
84,Bicicleta,22.718893497587032
85,Coletivo,56.49258596768466
85,Individual,23.46593554560053
85,A pé,9.214447432293392
85,Bicicleta,20
86,Coletivo,73.43795716339932
86,Individual,20.993516686899973
86,A pé,12.671295534511689
86,Bicicleta,18.353535757762977
87,Coletivo,60.47553141217163
87,Individual,21.48616727451042
87,A pé,12.164537604746924
87,Bicicleta,19.5529100543982
88,Coletivo,68.28313938251054
88,Individual,22.619060165293984
88,A pé,10.278922729317786
88,Bicicleta,31.252293860035394
89,Coletivo,64.50735279426796
89,Individual,23.12624739250251
89,A pé,12.344855600755645
89,Bicicleta,16.063711055826825
90,Coletivo,69.7863054968312
90,Individual,22.905803881064706
90,A pé,10.446206851733221
90,Bicicleta,21.048630880798406
91,Coletivo,72.79840381559727
91,Individual,36.26784109568028
91,A pé,10.241317673051169
91,Bicicleta,17.698641039518165
92,Coletivo,76.46130852720526
92,Individual,47.52199501730369
92,A pé,9.229404632351065
92,Bicicleta,15
93,Coletivo,77.12237371455026
93,Individual,30.268953877269276
93,A pé,11.081317521316215
93,Bicicleta,14.38847244738474
94,Coletivo,83.7760628647227
94,Individual,27.593413051660907
94,A pé,10.876525666813642
94,Bicicleta,30
95,Coletivo,59.04409036101782
95,Individual,19.82124332995879
95,A pé,9.775442608280798
95,Bicicleta,15.0096423223894
96,Coletivo,69.63903600260939
96,Individual,21.03438859322722
96,A pé,13.347385229949987
96,Bicicleta,26.080298564604124
97,Coletivo,81.51515004908327
97,Individual,25.218331594907294
97,A pé,11.116861751717204
97,Bicicleta,52.09632391858864
98,Coletivo,67.52906412763723
98,Individual,40.50982423883218
98,A pé,14.726049274192485
98,Bicicleta,19.54373779634553
99,Coletivo,73.34855656703415
99,Individual,36.481633097930185
99,A pé,8.602969651081583
99,Bicicleta,53.269018182513314
100,Coletivo,68.23058631112167
100,Individual,29.338659797332593
100,A pé,6.9896782444035415
100,Bicicleta,12.952871938935852
101,Coletivo,62.87872431894818
101,Individual,21.7248115727708
101,A pé,9.546382440155718
101,Bicicleta,20
102,Coletivo,53.700619807744836
102,Individual,23.083392943655785
102,A pé,14.371416432758819
102,Bicicleta,0
103,Coletivo,64.05747022870106
103,Individual,20.376209671139744
103,A pé,11.78728931619577
103,Bicicleta,0
104,Coletivo,64.83972477405355
104,Individual,29.228919206546955
104,A pé,10.8035343570063
104,Bicicleta,14.88412444735495
105,Coletivo,65.8660998681541
105,Individual,29.24543342691501
105,A pé,9.902911668284446
105,Bicicleta,0
106,Coletivo,81.69292412855876
106,Individual,42.91635761938126
106,A pé,8.939748829560681
106,Bicicleta,17.550140682163864
107,Coletivo,60.002438690554065
107,Individual,29.954995817832856
107,A pé,7.696710294321322
107,Bicicleta,22.776454600451622
108,Coletivo,94.52581963697041
108,Individual,39.073830598581246
108,A pé,9.99632486373121
108,Bicicleta,12.5
