COD_ZONA,VIAGENS_ATRAIDAS_MODO_PRINCIPAL,QTD
1,Metrô,65510.5820904296
1,Trem,1453.80729703898
1,Ônibus,34277.3340764248
1,Transporte fretado,385.646968480995
1,Transporte escolar,234.923567739768
1,Dirigindo automóvel,9733.21281994681
1,Passageiro de automóvel,3938.33373404274
1,Táxi convencional,703.63675295698
1,Táxi não convencional,367.692040097179
1,Dirigindo moto,1676.81882693828
1,Passageiro de moto,0
1,Bicicleta,145.91095280561
1,A pé,41669.9323503617
1,Outros,59.6548721749551
2,Metrô,45206.8632027579
2,Trem,7142.2037442895
2,Ônibus,29969.4348260596
2,Transporte fretado,0
2,Transporte escolar,39.771383780774
2,Dirigindo automóvel,15352.9231408125
2,Passageiro de automóvel,6490.69816939227
2,Táxi convencional,623.355686737463
2,Táxi não convencional,1143.59992901832
2,Dirigindo moto,4290.91619852639
2,Passageiro de moto,24.1955960994372
2,Bicicleta,737.31656940696
2,A pé,26228.3688921243
2,Outros,1056.76333481684
3,Metrô,20980.313094867
3,Trem,0
3,Ônibus,8402.3715373882
3,Transporte fretado,0
3,Transporte escolar,243.798168181707
3,Dirigindo automóvel,6266.51294475794
3,Passageiro de automóvel,1061.1513665171
3,Táxi convencional,318.393786664722
3,Táxi não convencional,529.253862668666
3,Dirigindo moto,744.868319537524
3,Passageiro de moto,287.607150023883
3,Bicicleta,331.134064395505
3,A pé,23337.4327418433
3,Outros,0
4,Metrô,17751.0450992414
4,Trem,264.02155638155
4,Ônibus,15459.297557937
4,Transporte fretado,0
4,Transporte escolar,289.357261105947
4,Dirigindo automóvel,9422.57337350654
4,Passageiro de automóvel,1502.94597785926
4,Táxi convencional,859.113072707702
4,Táxi não convencional,3258.18693710217
4,Dirigindo moto,321.591283123004
4,Passageiro de moto,0
4,Bicicleta,1083.62487659796
4,A pé,27618.5826843322
4,Outros,455.222594840371
5,Metrô,79320.2777165969
5,Trem,1395.49386343958
5,Ônibus,27348.4266940286
5,Transporte fretado,0
5,Transporte escolar,245.585220064742
5,Dirigindo automóvel,14850.7725978396
5,Passageiro de automóvel,3787.60557356499
5,Táxi convencional,429.045533450565
5,Táxi não convencional,3260.74314215548
5,Dirigindo moto,2016.64772335536
5,Passageiro de moto,570.9824337666
5,Bicicleta,1379.11259851598
5,A pé,51640.66431018
5,Outros,907.386107827088
6,Metrô,21374.655568149
6,Trem,14802.0449028141
6,Ônibus,17432.7288931174
6,Transporte fretado,0
6,Transporte escolar,332.103105168383
6,Dirigindo automóvel,9347.26429691347
6,Passageiro de automóvel,2622.28572177537
6,Táxi convencional,327.624526040943
6,Táxi não convencional,1973.94369991767
6,Dirigindo moto,3148.92976473982
6,Passageiro de moto,0
6,Bicicleta,1564.64836925812
6,A pé,36261.943171817
6,Outros,162.345633644148
7,Metrô,18299.7712014188
7,Trem,12026.2674870386
7,Ônibus,10269.6875196489
7,Transporte fretado,1658.04287809423
7,Transporte escolar,613.79315521925
7,Dirigindo automóvel,10043.2771832757
7,Passageiro de automóvel,3133.64321903782
7,Táxi convencional,140.284365664826
7,Táxi não convencional,637.622596349414
7,Dirigindo moto,3836.9157759833
7,Passageiro de moto,669.288108455226
7,Bicicleta,1705.76540594206
7,A pé,30605.1476811796
7,Outros,41.0299332020835
8,Metrô,1845.84255964816
8,Trem,3078.49604764494
8,Ônibus,5840.32592522319
8,Transporte fretado,801.326911139494
8,Transporte escolar,288.888949266554
8,Dirigindo automóvel,4242.3828068301
8,Passageiro de automóvel,1197.42639296308
8,Táxi convencional,45.1146308762095
8,Táxi não convencional,514.212384565497
8,Dirigindo moto,843.174708889534
8,Passageiro de moto,0
8,Bicicleta,502.12602812252
8,A pé,20970.679154205
8,Outros,0
9,Metrô,12567.4649312643
9,Trem,1135.54900768688
9,Ônibus,6654.15268381879
9,Transporte fretado,0
9,Transporte escolar,95.470832746402
9,Dirigindo automóvel,5273.94175805538
9,Passageiro de automóvel,988.4815889634
9,Táxi convencional,0
9,Táxi não convencional,142.935094399371
9,Dirigindo moto,710.811196495017
9,Passageiro de moto,0
9,Bicicleta,512.660207594122
9,A pé,8344.04648008071
9,Outros,96.3629674451704
10,Metrô,5758.37301129061
10,Trem,0
10,Ônibus,7910.93887186772
10,Transporte fretado,329.864434886921
10,Transporte escolar,1849.43259716171
10,Dirigindo automóvel,1928.73330060759
10,Passageiro de automóvel,1404.07045840957
10,Táxi convencional,0
10,Táxi não convencional,146.788986046283
10,Dirigindo moto,199.887280408709
