COD_ZONA,VIAGENS_ATRAIDAS_POR_MOTIVO,QTD
1,Trabalho Indústria,1591.1336524592948
1,Trabalho Comércio,11034.710398613897
1,Trabalho Serviços,88679.89849382959
1,Educação,6998.712778218548
1,Compras,6750.756901661694
1,Saúde,1417.8680958010189
1,Lazer,3221.646137526346
1,Procurar Emprego,3124.9490820975498
1,Assuntos Pessoais,20311.741043776863
1,Refeição,17026.06976545353
2,Trabalho Indústria,2260.1918313848087
2,Trabalho Comércio,32580.231837077095
2,Trabalho Serviços,38486.62261543523
2,Educação,4437.955001673683
2,Compras,37998.9680214236
2,Saúde,1537.4493698008384
2,Lazer,2301.8923897864884
2,Procurar Emprego,1260.896286050065
2,Assuntos Pessoais,10889.051978386067
2,Refeição,6553.151342804434
3,Trabalho Indústria,1604.029287530161
3,Trabalho Comércio,3712.922294995507
3,Trabalho Serviços,29270.283697461957
3,Educação,8727.133602293137
3,Compras,3510.6623311092812
3,Saúde,2695.8054682320862
3,Lazer,1747.3755513446056
3,Procurar Emprego,169.82699334031548
3,Assuntos Pessoais,5893.684311752105
3,Refeição,5171.113498786454
4,Trabalho Indústria,277.5422423709208
4,Trabalho Comércio,3886.723708123987
4,Trabalho Serviços,35275.1634822982
4,Educação,8028.391341128777
4,Compras,2822.2166376365576
4,Saúde,3420.2405251040855
4,Lazer,5508.785205344966
4,Procurar Emprego,369.9568217739087
4,Assuntos Pessoais,15042.666723474518
4,Refeição,3653.875587479099
5,Trabalho Indústria,2606.10340107286
5,Trabalho Comércio,22966.331925630257
5,Trabalho Serviços,108022.34648433521
5,Educação,6402.628274696847
5,Compras,3979.4212869522958
5,Saúde,3410.343623120114
5,Lazer,5459.39363717993
5,Procurar Emprego,5248.907220109146
5,Assuntos Pessoais,14165.107740023348
5,Refeição,14892.1599216656
6,Trabalho Indústria,2227.7567874734423
6,Trabalho Comércio,27707.437413111686
6,Trabalho Serviços,35720.807057097496
6,Educação,12881.616681100752
6,Compras,9010.515696683868
6,Saúde,1977.9095853777367
6,Lazer,1380.809673055193
6,Procurar Emprego,0
6,Assuntos Pessoais,7556.8785690379555
6,Refeição,10886.78619041737
