COD_ZONA,VIAGENS_ATRAIDAS_POR_TIPO,QTD
1,Coletivo,101862.29400011411
1,Individual,16479.34904615694
1,Modo Motorizado,118341.64304627106
1,Modo Não Motorizado,41815.84330316735
2,Coletivo,82358.27315688787
2,Individual,28982.452055403217
2,Modo Motorizado,111340.72521229109
2,Modo Não Motorizado,26965.6854615313
3,Coletivo,29626.482800436923
3,Individual,9207.787430169834
3,Modo Motorizado,38834.27023060676
3,Modo Não Motorizado,23668.56680623884
4,Coletivo,33763.72147466583
4,Individual,15819.633239139048
4,Modo Motorizado,49583.354713804874
4,Modo Não Motorizado,28702.207560930125
5,Coletivo,108309.78349412997
5,Individual,25823.18311195966
5,Modo Motorizado,134132.9666060896
5,Modo Não Motorizado,53019.77690869596
6,Coletivo,53941.532469248945
6,Individual,17582.39364303142
6,Modo Motorizado,71523.92611228037
6,Modo Não Motorizado,37826.59154107509
7,Coletivo,42867.56224141982
7,Individual,18502.061181968413
7,Modo Motorizado,61369.623423388235
7,Modo Não Motorizado,32310.91308712168
8,Coletivo,11854.880392922323
8,Individual,6842.310924124425
8,Modo Motorizado,18697.19131704675
8,Modo Não Motorizado,21472.80518232751
9,Coletivo,20452.63745551634
9,Individual,7212.532605358336
9,Modo Motorizado,27665.170060874676
9,Modo Não Motorizado,8856.706687674834
10,Coletivo,15848.60891520696
10,Individual,3679.4800254721554
10,Modo Motorizado,19528.088940679114
10,Modo Não Motorizado,4502.366176553273
11,Coletivo,3873.749361946422
11,Individual,5724.017459917356
11,Modo Motorizado,9597.766821863777
11,Modo Não Motorizado,1783.028748648542
12,Coletivo,18030.674390814824
12,Individual,10374.796814954814
12,Modo Motorizado,28405.471205769638
12,Modo Não Motorizado,16518.35330641546
13,Coletivo,12106.448385440697
13,Individual,8238.51599539768
13,Modo Motorizado,20344.964380838377
13,Modo Não Motorizado,4216.592869041944
14,Coletivo,36286.69023106789
14,Individual,14972.280642132138
14,Modo Motorizado,51258.97087320003
14,Modo Não Motorizado,15521.294712970846
15,Coletivo,21491.456025704545
15,Individual,5499.590962769329
15,Modo Motorizado,26991.046988473874
15,Modo Não Motorizado,9250.27618067643
16,Coletivo,25204.56675954893
16,Individual,7715.010782985833
16,Modo Motorizado,32919.57754253476
16,Modo Não Motorizado,15277.605143003317
17,Coletivo,15236.665193222443
17,Individual,5383.5426190837825
17,Modo Motorizado,20620.207812306224
17,Modo Não Motorizado,10887.026698485333
18,Coletivo,28519.23622608778
18,Individual,24226.236160956887
18,Modo Motorizado,52745.47238704467
18,Modo Não Motorizado,20492.182856152955
19,Coletivo,18550.66348914225
19,Individual,28211.805955466058
19,Modo Motorizado,46762.46944460831
19,Modo Não Motorizado,11140.357585166394
20,Coletivo,15620.831877899058
20,Individual,15714.41180182064
20,Modo Motorizado,31335.2436797197
20,Modo Não Motorizado,14694.437135646605
21,Coletivo,13587.903835932346
21,Individual,21181.072688243556
21,Modo Motorizado,34768.9765241759
21,Modo Não Motorizado,9548.690554566558
22,Coletivo,15436.170038681514
22,Individual,10029.20206008105
22,Modo Motorizado,25465.372098762564
22,Modo Não Motorizado,11773.494855139214
23,Coletivo,46880.05919088396
23,Individual,15610.16717934163
23,Modo Motorizado,62490.226370225595
23,Modo Não Motorizado,11197.41075613853
24,Coletivo,54861.02787325072
24,Individual,14667.543348081934
24,Modo Motorizado,69528.57122133265
24,Modo Não Motorizado,20005.278825927715
25,Coletivo,13498.201326492015
25,Individual,8223.236683789539
25,Modo Motorizado,21721.438010281556
25,Modo Não Motorizado,19107.859444366288
26,Coletivo,20049.4215381051
26,Individual,17493.917514915458
26,Modo Motorizado,37543.33905302056
26,Modo Não Motorizado,17137.175429611238
27,Coletivo,58845.04504806878
27,Individual,32252.243783527145
27,Modo Motorizado,91097.28883159593
27,Modo Não Motorizado,29217.272869506327
28,Coletivo,39498.27036233483
28,Individual,19775.550120368574
28,Modo Motorizado,59273.820482703406
28,Modo Não Motorizado,17498.11114757499
29,Coletivo,50478.44329642741
29,Individual,21918.252361992203
29,Modo Motorizado,72396.69565841962
29,Modo Não Motorizado,22391.406915318013
30,Coletivo,21075.37598600446
30,Individual,21157.125826849133
30,Modo Motorizado,42232.50181285359
30,Modo Não Motorizado,20497.914133278355
31,Coletivo,62723.331290980714
31,Individual,27229.77095510941
31,Modo Motorizado,89953.10224609013
31,Modo Não Motorizado,29435.205038257205
32,Coletivo,61675.492470141144
32,Individual,17057.3301451465
32,Modo Motorizado,78732.82261528765
32,Modo Não Motorizado,33818.804251137975
33,Coletivo,2840.725943167653
33,Individual,2500.6363829455386
33,Modo Motorizado,5341.362326113192
33,Modo Não Motorizado,1585.1764055854728
34,Coletivo,8228.139691814345
34,Individual,17996.684695084616
34,Modo Motorizado,26224.82438689896
34,Modo Não Motorizado,6658.086762900111
35,Coletivo,46980.79670917647
35,Individual,21541.073708920416
35,Modo Motorizado,68521.87041809689
35,Modo Não Motorizado,43735.583453215826
36,Coletivo,47754.85810669877
36,Individual,35914.71930559524
36,Modo Motorizado,83669.577412294
36,Modo Não Motorizado,28872.159076975815
37,Coletivo,16071.138553133811
37,Individual,11091.714196219393
37,Modo Motorizado,27162.852749353202
37,Modo Não Motorizado,6387.992568004946
38,Coletivo,3265.414098238253
38,Individual,4089.7512395059866
38,Modo Motorizado,7355.16533774424
38,Modo Não Motorizado,4799.200852897895
39,Coletivo,14630.244953041507
39,Individual,7265.41282028267
39,Modo Motorizado,21895.657773324176
39,Modo Não Motorizado,3686.038523050115
40,Coletivo,22895.8324262423
40,Individual,9186.426436185004
40,Modo Motorizado,32082.258862427305
40,Modo Não Motorizado,10872.19613665769
41,Coletivo,31256.54485430465
41,Individual,21580.459374347643
41,Modo Motorizado,52837.004228652295
41,Modo Não Motorizado,28146.99317874247
42,Coletivo,14630.066355547564
42,Individual,7847.140561164473
42,Modo Motorizado,22477.206916712035
42,Modo Não Motorizado,6774.445116141207
43,Coletivo,63288.1498085783
43,Individual,26056.50828167009
43,Modo Motorizado,89344.65809024838
43,Modo Não Motorizado,20766.882551085637
44,Coletivo,24743.511912060025
44,Individual,24364.824568727778
44,Modo Motorizado,49108.3364807878
44,Modo Não Motorizado,12042.348842805093
45,Coletivo,36247.62864568681
45,Individual,34188.29599606443
45,Modo Motorizado,70435.92464175125
45,Modo Não Motorizado,26933.001112756217
46,Coletivo,24701.34377911515
46,Individual,19540.62703871925
46,Modo Motorizado,44241.9708178344
46,Modo Não Motorizado,26630.734821508093
47,Coletivo,10157.968938615193
47,Individual,17997.923530673103
47,Modo Motorizado,28155.892469288294
47,Modo Não Motorizado,15198.808504710725
48,Coletivo,18461.764734877223
48,Individual,18663.258895804138
48,Modo Motorizado,37125.02363068136
48,Modo Não Motorizado,11776.522643404263
49,Coletivo,32078.100456647036
49,Individual,15567.691559580271
49,Modo Motorizado,47645.79201622731
49,Modo Não Motorizado,13181.085186601342
50,Coletivo,4829.060890871857
50,Individual,9077.079426017966
50,Modo Motorizado,13906.140316889823
50,Modo Não Motorizado,2982.627460426114
51,Coletivo,9767.88885676743
51,Individual,13845.633012348517
51,Modo Motorizado,23613.521869115946
51,Modo Não Motorizado,6273.342552378724
52,Coletivo,24570.05506395411
52,Individual,10272.407823314861
52,Modo Motorizado,34842.46288726897
52,Modo Não Motorizado,6109.770292113275
53,Coletivo,35842.200271035836
53,Individual,20719.601741110615
53,Modo Motorizado,56561.80201214645
53,Modo Não Motorizado,10418.720836292865
54,Coletivo,42088.645084356154
54,Individual,26974.29793898692
54,Modo Motorizado,69062.94302334308
54,Modo Não Motorizado,22508.263906508764
55,Coletivo,21780.05780780157
55,Individual,22972.51871527893
55,Modo Motorizado,44752.5765230805
55,Modo Não Motorizado,6433.8080110766805
56,Coletivo,32528.671569947557
56,Individual,25058.060521283016
56,Modo Motorizado,57586.73209123057
56,Modo Não Motorizado,19740.338595142457
57,Coletivo,43962.42548563251
57,Individual,37663.630856987686
57,Modo Motorizado,81626.0563426202
57,Modo Não Motorizado,29699.851766670356
58,Coletivo,28153.32932275738
58,Individual,14121.743000830445
58,Modo Motorizado,42275.072323587825
58,Modo Não Motorizado,13286.913994077995
59,Coletivo,70655.89783845015
59,Individual,43784.99342288442
59,Modo Motorizado,114440.89126133457
59,Modo Não Motorizado,50554.17538948344
60,Coletivo,22465.14114484331
60,Individual,36031.622613235464
60,Modo Motorizado,58496.76375807877
60,Modo Não Motorizado,9821.149793423941
61,Coletivo,32121.12960372211
61,Individual,26131.25953900754
61,Modo Motorizado,58252.38914272965
61,Modo Não Motorizado,17860.06812155297
62,Coletivo,23903.20987514887
62,Individual,18331.25627410772
62,Modo Motorizado,42234.466149256594
62,Modo Não Motorizado,6371.157247101122
63,Coletivo,21882.19437988025
63,Individual,13474.980322381856
63,Modo Motorizado,35357.174702262106
63,Modo Não Motorizado,1708.0284468215284
64,Coletivo,36879.45481423261
64,Individual,42873.75848792702
64,Modo Motorizado,79753.21330215962
64,Modo Não Motorizado,26415.17542178336
65,Coletivo,17161.659905250657
65,Individual,36764.6309895178
65,Modo Motorizado,53926.290894768455
65,Modo Não Motorizado,14635.81957044637
66,Coletivo,21855.882755502396
66,Individual,32273.762107921866
66,Modo Motorizado,54129.64486342426
66,Modo Não Motorizado,6782.229800262179
67,Coletivo,12389.336701704682
67,Individual,12060.94581607654
67,Modo Motorizado,24450.282517781223
67,Modo Não Motorizado,8182.968191101441
68,Coletivo,58295.36679015554
68,Individual,55147.770837255775
68,Modo Motorizado,113443.13762741131
68,Modo Não Motorizado,57712.43729137497
69,Coletivo,20581.13796665893
69,Individual,22588.709729538303
69,Modo Motorizado,43169.847696197234
69,Modo Não Motorizado,17554.70817448057
70,Coletivo,23209.309823651325
70,Individual,19441.886474510564
70,Modo Motorizado,42651.196298161885
70,Modo Não Motorizado,12495.23548557377
71,Coletivo,20348.795195202325
71,Individual,30592.849425805387
71,Modo Motorizado,50941.64462100771
71,Modo Não Motorizado,15440.770148824478
72,Coletivo,23674.568034487347
72,Individual,23899.842116516535
72,Modo Motorizado,47574.41015100388
72,Modo Não Motorizado,13465.50821619936
73,Coletivo,71346.4768209242
73,Individual,49488.4589873268
73,Modo Motorizado,120834.935808251
73,Modo Não Motorizado,60371.485462613964
74,Coletivo,38462.00345605793
74,Individual,18873.589460638206
74,Modo Motorizado,57335.592916696136
74,Modo Não Motorizado,18911.610830192178
75,Coletivo,15188.405959943571
75,Individual,13981.836807471816
75,Modo Motorizado,29170.242767415388
75,Modo Não Motorizado,13374.546660593542
76,Coletivo,17243.03556343629
76,Individual,23507.480951365076
76,Modo Motorizado,40750.51651480136
76,Modo Não Motorizado,9893.52543180028
77,Coletivo,47372.52662891832
77,Individual,27782.31036952002
77,Modo Motorizado,75154.83699843835
77,Modo Não Motorizado,20142.579683241776
78,Coletivo,21717.375836334184
78,Individual,21488.315784322127
78,Modo Motorizado,43205.69162065631
78,Modo Não Motorizado,15128.425318991616
79,Coletivo,64096.75827306079
79,Individual,33923.274710566955
79,Modo Motorizado,98020.03298362775
79,Modo Não Motorizado,27671.969636587903
80,Coletivo,32794.320654533636
80,Individual,24534.381448475986
80,Modo Motorizado,57328.70210300962
80,Modo Não Motorizado,23846.40054092432
81,Coletivo,35707.18974807698
81,Individual,32661.780405708476
81,Modo Motorizado,68368.97015378546
81,Modo Não Motorizado,19386.550109466112
82,Coletivo,81775.7424837159
82,Individual,47869.16160726338
82,Modo Motorizado,129644.90409097928
