COD_ZONA,MODO_PRINCIPAL,QTD
1,Metrô,67841.89263416862
1,Trem,1453.8072970389817
1,Ônibus,29973.823143766884
1,Transporte fretado,22.132647078120755
1,Transporte escolar,180.33685922942726
1,Dirigindo automóvel,9597.308245596027
1,Passageiro de automóvel,3491.603414023139
1,Táxi convencional,1774.5475750745843
1,Táxi não convencional,539.3483603801369
1,Dirigindo moto,1676.8188269382822
1,Passageiro de moto,0
1,Bicicleta,145.9109528056096
1,A pé,43708.89142254134
1,Outros,96.50383702497987
2,Metrô,47884.02275002034
2,Trem,8444.898944158516
2,Ônibus,25897.451856497868
2,Transporte fretado,0
2,Transporte escolar,39.77138378077396
2,Dirigindo automóvel,15337.34577154907
2,Passageiro de automóvel,6136.269624695606
2,Táxi convencional,171.58592631550908
2,Táxi não convencional,1064.842291657969
2,Dirigindo moto,4290.916198526391
2,Passageiro de moto,24.19559609943721
2,Bicicleta,737.31656940696
2,A pé,26794.021036484315
2,Outros,409.0974808475564
3,Metrô,20982.023086845
3,Trem,0
3,Ônibus,7842.441278210247
3,Transporte fretado,0
3,Transporte escolar,243.79816818170713
3,Dirigindo automóvel,6237.793223078387
3,Passageiro de automóvel,1177.8877806688233
3,Táxi convencional,728.7164836652213
3,Táxi não convencional,552.1168608115117
3,Dirigindo moto,664.2964867520302
3,Passageiro de moto,0
3,Bicicleta,331.1340643955049
3,A pé,23764.568537576706
3,Outros,446.2150115170134
4,Metrô,19799.639169627262
4,Trem,0
4,Ônibus,13020.637134506322
4,Transporte fretado,0
4,Transporte escolar,289.3572611059474
4,Dirigindo automóvel,9695.324759547902
4,Passageiro de automóvel,3111.7997144335604
4,Táxi convencional,1425.6232291656222
4,Táxi não convencional,1753.9476351375922
4,Dirigindo moto,321.591283123004
4,Passageiro de moto,0
4,Bicicleta,1083.6248765979599
4,A pé,27227.201285858395
4,Outros,455.2225948403705
5,Metrô,78710.95773050176
5,Trem,880.4116455226267
5,Ônibus,27443.883024153987
5,Transporte fretado,0
5,Transporte escolar,245.5852200647416
5,Dirigindo automóvel,13923.13660856663
