COD_ZONA,MOTIVO_VIAGEM,QTD
1,Trabalho Indústria,1772.6131976762852
1,Trabalho Comércio,10927.173795731504
1,Trabalho Serviços,77106.51302909342
1,Educação,16425.22761010707
1,Compras,6580.4551756576875
1,Saúde,568.2838186960423
1,Lazer,5708.189521092653
1,Procurar Emprego,3695.120485155703
1,Assuntos Pessoais,19362.825577799056
1,Refeição,18356.52300465678
2,Trabalho Indústria,2467.5345078432433
2,Trabalho Comércio,32420.242155522956
2,Trabalho Serviços,33749.055704159626
2,Educação,6501.567006494866
2,Compras,35642.08640031156
2,Saúde,1653.6383961241233
2,Lazer,2476.9484707163006
2,Procurar Emprego,1263.2000417541326
2,Assuntos Pessoais,12700.712700662167
2,Refeição,8356.75004645137
3,Trabalho Indústria,1604.029287530161
3,Trabalho Comércio,4209.753790250874
3,Trabalho Serviços,27907.065949235548
3,Educação,10899.284753908363
3,Compras,3127.4111453131154
3,Saúde,2404.544839510836
3,Lazer,1052.5276671290912
3,Procurar Emprego,387.56385722465706
3,Assuntos Pessoais,6747.8502981170395
3,Refeição,4630.959393482471
4,Trabalho Indústria,314.04122581534443
4,Trabalho Comércio,4115.845020610126
4,Trabalho Serviços,35153.3256484075
4,Educação,9988.515203446368
4,Compras,2769.293581889325
4,Saúde,3310.432844720802
4,Lazer,6190.394217098381
4,Procurar Emprego,369.9568217739087
4,Assuntos Pessoais,12230.755424722996
4,Refeição,3741.4089554591765
5,Trabalho Indústria,3479.5523772501037
5,Trabalho Comércio,22929.236326712162
5,Trabalho Serviços,95200.34874957212
5,Educação,13741.336675123322
5,Compras,3856.8475342201045
5,Saúde,3371.438555739203
5,Lazer,7403.092606819002
5,Procurar Emprego,4970.905761955666
5,Assuntos Pessoais,15223.592056690128
5,Refeição,16043.265554125532
6,Trabalho Indústria,2278.7207611264766
6,Trabalho Comércio,25938.002216277353
6,Trabalho Serviços,36913.197373889954
6,Educação,14805.161869269357
6,Compras,7962.406767248002
6,Saúde,2163.414664289388
6,Lazer,4349.307105311624
6,Procurar Emprego,0
6,Assuntos Pessoais,8379.446360414337
6,Refeição,7001.515829101445
