COD_ZONA,TIPO_VIAGEM,QTD
1,Coletivo,99471.99258128203
1,Individual,17176.130259037145
1,Modo Motorizado,116648.12284031918
1,Modo Não Motorizado,43854.802375346946
2,Coletivo,82266.1449344575
2,Individual,27434.252889691543
2,Modo Motorizado,109700.39782414904
2,Modo Não Motorizado,27531.337605891276
3,Coletivo,29068.262533236957
3,Individual,9807.025846492987
3,Modo Motorizado,38875.288379729944
3,Modo Não Motorizado,24095.70260197221
4,Coletivo,33109.633565239536
4,Individual,16763.50921624805
4,Modo Motorizado,49873.142781487586
4,Modo Não Motorizado,28310.826162456353
5,Coletivo,107280.83762024311
5,Individual,25663.30332200844
5,Modo Motorizado,132944.14094225154
5,Modo Não Motorizado,53275.47525595571
6,Coletivo,56126.557125791835
6,Individual,17890.3586355368
6,Modo Motorizado,74016.91576132864
6,Modo Não Motorizado,35774.25718559929
7,Coletivo,42235.57497917277
7,Individual,18592.39410341666
7,Modo Motorizado,60827.969082589436
7,Modo Não Motorizado,32333.045996642737
8,Coletivo,11976.481818335453
8,Individual,7883.015073368646
8,Modo Motorizado,19859.496891704097
8,Modo Não Motorizado,20363.208871255443
9,Coletivo,20488.67043689982
9,Individual,7261.051377059108
9,Modo Motorizado,27749.72181395893
9,Modo Não Motorizado,8519.089813889057
10,Coletivo,15796.613206142489
10,Individual,3570.1650242741366
10,Modo Motorizado,19366.778230416625
10,Modo Não Motorizado,4523.181087934929
11,Coletivo,3883.940692390329
11,Individual,5743.496914802447
11,Modo Motorizado,9627.437607192776
11,Modo Não Motorizado,1775.6030647594396
12,Coletivo,18773.407094339615
12,Individual,10554.424019984079
12,Modo Motorizado,29327.831114323693
12,Modo Não Motorizado,16808.002225664444
13,Coletivo,12453.880764394205
13,Individual,8518.542951322645
13,Modo Motorizado,20972.42371571685
13,Modo Não Motorizado,4158.344617555441
14,Coletivo,36373.16456133
14,Individual,14547.361359586479
14,Modo Motorizado,50920.52592091648
14,Modo Não Motorizado,15575.103797435972
15,Coletivo,21627.737725493505
15,Individual,5714.589092176558
15,Modo Motorizado,27342.326817670062
15,Modo Não Motorizado,8824.448484069731
16,Coletivo,25491.84101754194
16,Individual,8085.760734490795
16,Modo Motorizado,33577.60175203274
16,Modo Não Motorizado,15068.968214694223
17,Coletivo,14957.455238437256
17,Individual,5718.622985383214
17,Modo Motorizado,20676.07822382047
17,Modo Não Motorizado,10948.509385511697
18,Coletivo,29334.57708057899
18,Individual,24920.538644717555
18,Modo Motorizado,54255.11572529655
18,Modo Não Motorizado,20251.905020296268
19,Coletivo,17713.90988468215
19,Individual,28505.323788334896
19,Modo Motorizado,46219.23367301705
19,Modo Não Motorizado,11461.105479930578
20,Coletivo,17236.200734714494
20,Individual,15467.889231721452
20,Modo Motorizado,32704.089966435946
20,Modo Não Motorizado,14378.71826393709
21,Coletivo,13317.581337825282
21,Individual,21354.149295342744
21,Modo Motorizado,34671.73063316803
21,Modo Não Motorizado,9759.17769881872
22,Coletivo,15055.728214527808
22,Individual,9972.509368645196
22,Modo Motorizado,25028.237583173002
22,Modo Não Motorizado,12014.930385465897
23,Coletivo,45842.87702465226
23,Individual,16064.29124642881
23,Modo Motorizado,61907.16827108107
23,Modo Não Motorizado,12108.94092295286
24,Coletivo,56883.651072304536
24,Individual,14043.096456581712
24,Modo Motorizado,70926.74752888625
24,Modo Não Motorizado,18771.107319049686
25,Coletivo,14183.213019754407
25,Individual,8016.467998817443
25,Modo Motorizado,22199.68101857185
25,Modo Não Motorizado,18430.51138055285
26,Coletivo,20283.32362933073
26,Individual,16946.839294174184
26,Modo Motorizado,37230.16292350492
26,Modo Não Motorizado,17277.395793150426
27,Coletivo,56911.107294352354
27,Individual,30529.871837618124
27,Modo Motorizado,87440.97913197048
27,Modo Não Motorizado,30356.41812784708
28,Coletivo,37406.072142460005
28,Individual,21680.160182775217
28,Modo Motorizado,59086.23232523522
28,Modo Não Motorizado,17085.168269558348
29,Coletivo,49318.592412757636
29,Individual,23254.70934562542
29,Modo Motorizado,72573.30175838305
29,Modo Não Motorizado,22364.536774594286
30,Coletivo,20697.694170125254
30,Individual,21143.410643278865
30,Modo Motorizado,41841.10481340412
30,Modo Não Motorizado,21273.86756618444
31,Coletivo,62489.95731853499
31,Individual,27313.277429885264
31,Modo Motorizado,89803.23474842025
31,Modo Não Motorizado,29228.65087825574
32,Coletivo,62854.693296158555
32,Individual,17388.119415719608
32,Modo Motorizado,80242.81271187816
32,Modo Não Motorizado,31890.578382281677
33,Coletivo,2904.1431618195775
33,Individual,2535.05591061876
33,Modo Motorizado,5439.199072438338
33,Modo Não Motorizado,1489.9156128855288
34,Coletivo,7396.098941932667
34,Individual,17211.185753674486
34,Modo Motorizado,24607.28469560715
34,Modo Não Motorizado,7249.8699652442865
35,Coletivo,47010.16685292323
35,Individual,23231.368897911827
35,Modo Motorizado,70241.53575083506
35,Modo Não Motorizado,44093.36181032617
36,Coletivo,49194.10370466132
36,Individual,34563.87411298651
36,Modo Motorizado,83757.97781764783
